,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6.12 - POPULAÇÃO RESIDENTE, SEGUNDO OS PAÍSES DE PROVENIÊNCIA( RELATIVAMENTE A 31/12/2005), POR MUNICIPIO DE RESIDÊNCIA HABITUAL EM 21/03/2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População Residente em 2011,,Imigrante no município,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Proveniente de outros municípios,,Proveniente do estrangeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Municipios de residência habitual em 21/03/2011,,,,,Total,,França,,Países Baixos,,Alemanha,,Itália,,Reino Unido,,Irlanda,,Espanha,,Bélgica,,Luxemburgo,,Suiça,,Andorra,,Roménia,,Bulgária,,Ucrânia,,"Moldova, República de",,PALOP,,África do Sul,,Estados Unidos,,Canadá,,"Venezuela, República Bolivariana da",,Brasil,,Índia,,China,,Outros,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
            Felgueiras,58065,28103,1664,800,519,288,216,112,5,3,34,19,2,2,19,12,1,1,69,42,2,1,4,3,47,28,21,15,0,0,0,0,2,1,0,0,3,3,3,1,12,8,1,1,0,0,43,15,0,0,8,4,27,17
            Lousada,47387,23077,2303,1146,304,169,59,31,0,0,21,8,1,1,13,6,2,1,66,45,7,6,6,2,57,34,10,5,1,0,0,0,0,0,3,3,12,6,0,0,0,0,6,4,0,0,25,8,0,0,4,3,11,6
            Marco de Canaveses,53450,26039,1701,828,675,368,79,40,2,1,100,56,1,0,18,11,2,2,91,55,17,7,28,15,126,70,32,20,3,0,0,0,8,4,2,1,50,37,1,0,35,17,3,2,12,3,35,9,0,0,3,2,27,16
            Paços de Ferreira,56340,28081,2510,1423,406,258,132,76,3,1,19,12,3,2,33,21,1,0,64,56,2,1,10,6,22,15,2,2,3,2,0,0,1,1,0,0,7,5,1,1,10,5,0,0,3,3,56,29,0,0,7,5,27,15
            Paredes,86854,42530,4006,1930,585,319,177,88,3,3,33,23,1,0,59,32,10,6,70,59,9,5,11,7,39,19,12,5,1,0,0,0,14,4,1,0,24,12,8,5,11,7,0,0,0,0,64,24,0,0,7,3,31,17
            Penafiel,72265,35191,2711,1310,487,277,82,47,5,2,47,29,2,1,29,16,2,0,68,53,13,5,20,12,100,52,8,5,1,1,0,0,5,2,3,1,12,8,0,0,1,1,1,1,0,0,60,24,3,2,9,5,16,10
            Mondim de Basto,7493,3598,274,140,141,80,32,18,0,0,19,12,0,0,2,1,0,0,8,6,4,3,18,9,48,26,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,4,3
            Ribeira de Pena,6544,3196,217,100,209,114,96,50,1,1,23,12,0,0,2,1,0,0,12,10,15,9,2,1,52,26,2,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1
            Cinfães,20427,9932,451,220,179,106,13,7,1,1,6,4,1,1,4,3,1,1,21,17,0,0,0,0,75,43,2,1,0,0,0,0,0,0,0,0,13,6,0,0,8,4,0,0,0,0,26,15,0,0,1,1,7,2
            Resende,11364,5523,336,153,116,64,5,2,0,0,8,5,0,0,1,0,1,0,11,8,3,2,0,0,63,35,0,0,1,0,4,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,4,2,0,0,4,2,8,5
          Entre Douro e Vouga,274859,132784,13537,6559,3193,1677,740,397,21,13,178,99,23,15,216,118,15,8,225,167,26,10,89,54,678,356,5,3,67,38,11,6,69,23,8,3,86,60,29,16,65,35,15,8,114,60,369,123,4,1,29,12,111,52
            Arouca,22359,10799,615,290,238,134,84,47,4,1,7,5,0,0,5,2,1,1,5,5,0,0,1,1,91,52,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,25,11,0,0,0,0,6,2
            Santa Maria da Feira,139312,67402,7136,3520,1582,838,387,214,6,5,120,67,16,10,80,44,5,2,148,109,5,3,33,18,337,170,4,2,32,18,2,1,23,9,5,1,36,20,28,16,24,13,3,2,60,32,164,48,0,0,15,7,49,27
            Oliveira de Azeméis,68611,33282,2900,1351,739,381,156,75,10,7,18,9,6,5,86,47,7,3,49,37,3,1,23,12,141,75,0,0,28,15,6,4,20,7,0,0,20,17,1,0,17,10,4,2,44,24,73,21,1,1,6,2,20,7
            São João da Madeira,21713,10222,2158,1046,284,139,33,19,0,0,7,5,0,0,34,20,2,2,16,13,2,1,7,6,46,22,0,0,0,0,3,1,17,3,3,2,11,7,0,0,6,5,2,1,7,2,58,19,3,0,3,1,24,10
            Vale de Cambra,22864,11079,728,352,350,185,80,42,1,0,26,13,1,0,11,5,0,0,7,3,16,5,25,17,63,37,1,1,7,5,0,0,9,4,0,0,10,9,0,0,18,7,6,3,3,2,49,24,0,0,5,2,12,6
          Douro,205902,98444,8644,4087,4498,2468,1470,803,51,27,228,121,26,16,62,38,14,7,242,144,79,40,120,64,1254,715,85,52,169,105,95,51,31,19,4,2,141,70,1,0,31,17,13,5,2,1,249,99,4,2,36,16,91,54
            Carrazeda de Ansiães,6373,3066,165,81,237,139,75,43,2,1,16,8,0,0,0,0,0,0,19,13,0,0,17,11,22,13,10,7,0,0,34,18,0,0,0,0,13,7,1,0,1,1,2,1,0,0,3,1,0,0,4,2,18,13
            Freixo de Espada à Cinta,3780,1820,153,74,85,43,41,23,0,0,3,2,0,0,0,0,1,0,10,3,2,2,0,0,5,3,1,0,0,0,21,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
