"6.16 - POPULAÇÃO RESIDENTE, SEGUNDO A DIMENSÃO DOS LUGARES, POPULAÇÃO ISOLADA, EMBARCADA e CORPO DIPLOMÁTICO , POR CONDIÇÃO PERANTE A ACTIVIDADE ECONÓMICA, SEXO, E GRUPOS ETÁRIOS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,Em lugares até 1999 habitantes,Em lugares de 2000 a 4999 habitantes,Em lugares de 5000 a 9999 habitantes,Em lugares de 10000 a 19999 habitantes,Em lugares de 20000 a 49999 habitantes,Em lugares de 50000 a    99999 habitantes,Em lugares de 100000 a 199999 habitantes,Em lugares de 200000 a 499999 habitantes,Em lugares de 500000 a 999999 habitantes,Em lugares com 1 000 000 habitantes ou mais,"População isolada, embarcada e corpo diplomático",,
"Condição perante a actividade económica
Grupos etários de < 15, 15 - 60, 61-65, 66-70 >70 e sexo          ",,,,,,,,,,,,,,
                                                              H,1941,759,254,359,197,207,0,0,0,0,0,165,,
            Inactivos                                        HM,39703,18503,5251,6228,3484,3972,0,0,0,0,0,2265,,
                                                              H,17203,7902,2283,2713,1545,1691,0,0,0,0,0,1069,,
          Mais de 70 anos                                    HM,131348,65658,17307,19055,9666,12208,0,0,0,0,0,7454,,
                                                              H,54836,27995,6960,7693,3927,4639,0,0,0,0,0,3622,,
            Activos                                          HM,1697,620,244,316,166,229,0,0,0,0,0,122,,
                                                              H,1261,458,181,223,121,177,0,0,0,0,0,101,,
            Inactivos                                        HM,129651,65038,17063,18739,9500,11979,0,0,0,0,0,7332,,
                                                              H,53575,27537,6779,7470,3806,4462,0,0,0,0,0,3521,,
      Algarve                                                HM,451006,192239,32669,23427,93478,90345,0,0,0,0,0,18848,,
                                                              H,219931,94998,16047,11506,44842,42752,0,0,0,0,0,9786,,
          Menos de 15 anos                                   HM,66974,26475,5071,4174,15189,14048,0,0,0,0,0,2017,,
                                                              H,34250,13413,2601,2208,7819,7205,0,0,0,0,0,1004,,
          15 - 60 anos                                       HM,274370,112042,20659,15012,60025,56265,0,0,0,0,0,10367,,
                                                              H,135631,56286,10311,7393,29092,27031,0,0,0,0,0,5518,,
            Activos                                          HM,208742,83190,16161,12027,46790,43457,0,0,0,0,0,7117,,
                                                              H,107280,43974,8366,6047,23431,21352,0,0,0,0,0,4110,,
            Inactivos                                        HM,65628,28852,4498,2985,13235,12808,0,0,0,0,0,3250,,
                                                              H,28351,12312,1945,1346,5661,5679,0,0,0,0,0,1408,,
          61 - 65 anos                                       HM,26763,12811,1690,1123,4590,5093,0,0,0,0,0,1456,,
                                                              H,13140,6440,833,561,2209,2362,0,0,0,0,0,735,,
            Activos                                          HM,9302,4386,650,412,1693,1707,0,0,0,0,0,454,,
                                                              H,5340,2619,365,218,944,912,0,0,0,0,0,282,,
            Inactivos                                        HM,17461,8425,1040,711,2897,3386,0,0,0,0,0,1002,,
                                                              H,7800,3821,468,343,1265,1450,0,0,0,0,0,453,,
          66 - 70 anos                                       HM,23328,11404,1568,898,3899,4190,0,0,0,0,0,1369,,
                                                              H,11312,5639,744,459,1841,1928,0,0,0,0,0,701,,
            Activos                                          HM,1940,849,146,89,395,384,0,0,0,0,0,77,,
                                                              H,1254,569,92,60,252,226,0,0,0,0,0,55,,
            Inactivos                                        HM,21388,10555,1422,809,3504,3806,0,0,0,0,0,1292,,
                                                              H,10058,5070,652,399,1589,1702,0,0,0,0,0,646,,
          Mais de 70 anos                                    HM,59571,29507,3681,2220,9775,10749,0,0,0,0,0,3639,,
                                                              H,25598,13220,1558,885,3881,4226,0,0,0,0,0,1828,,
            Activos                                          HM,977,413,82,27,201,211,0,0,0,0,0,43,,
                                                              H,668,297,55,17,129,139,0,0,0,0,0,31,,
            Inactivos                                        HM,58594,29094,3599,2193,9574,10538,0,0,0,0,0,3596,,
                                                              H,24930,12923,1503,868,3752,4087,0,0,0,0,0,1797,,
    Região Autónoma dos Açores                               HM,246772,123132,56456,42659,0,20476,0,0,0,0,0,4049,,
                                                              H,121534,60962,27914,21061,0,9479,0,0,0,0,0,2118,,
        Menos de 15 anos                                     HM,44197,20916,10947,8508,0,3015,0,0,0,0,0,811,,
                                                              H,22604,10714,5609,4325,0,1502,0,0,0,0,0,454,,
        15 - 60 anos                                         HM,161615,79554,37611,28080,0,13615,0,0,0,0,0,2755,,
                                                              H,81747,40505,18995,14252,0,6542,0,0,0,0,0,1453,,
          Activos                                            HM,111613,54728,25878,19169,0,9812,0,0,0,0,0,2026,,
                                                              H,62492,31425,14495,10674,0,4764,0,0,0,0,0,1134,,
          Inactivos                                          HM,50002,24826,11733,8911,0,3803,0,0,0,0,0,729,,
                                                              H,19255,9080,4500,3578,0,1778,0,0,0,0,0,319,,
        61 - 65 anos                                         HM,10675,5596,2181,1719,0,1066,0,0,0,0,0,113,,
                                                              H,5006,2647,1024,816,0,463,0,0,0,0,0,56,,
          Activos                                            HM,2537,1334,546,413,0,223,0,0,0,0,0,21,,
                                                              H,1609,901,337,246,0,111,0,0,0,0,0,14,,
          Inactivos                                          HM,8138,4262,1635,1306,0,843,0,0,0,0,0,92,,
                                                              H,3397,1746,687,570,0,352,0,0,0,0,0,42,,
        66 - 70 anos                                         HM,8965,4939,1841,1295,0,794,0,0,0,0,0,96,,
                                                              H,4114,2258,854,587,0,363,0,0,0,0,0,52,,
          Activos                                            HM,514,251,114,76,0,70,0,0,0,0,0,3,,
                                                              H,357,176,88,45,0,46,0,0,0,0,0,2,,
          Inactivos                                          HM,8451,4688,1727,1219,0,724,0,0,0,0,0,93,,
                                                              H,3757,2082,766,542,0,317,0,0,0,0,0,50,,
        Mais de 70 anos                                      HM,21320,12127,3876,3057,0,1986,0,0,0,0,0,274,,
                                                              H,8063,4838,1432,1081,0,609,0,0,0,0,0,103,,
          Activos                                            HM,256,125,44,42,0,37,0,0,0,0,0,8,,
                                                              H,200,94,34,37,0,30,0,0,0,0,0,5,,
          Inactivos                                          HM,21064,12002,3832,3015,0,1949,0,0,0,0,0,266,,
                                                              H,7863,4744,1398,1044,0,579,0,0,0,0,0,98,,
      Região Autónoma dos Açores                             HM,246772,123132,56456,42659,0,20476,0,0,0,0,0,4049,,
                                                              H,121534,60962,27914,21061,0,9479,0,0,0,0,0,2118,,
          Menos de 15 anos                                   HM,44197,20916,10947,8508,0,3015,0,0,0,0,0,811,,
                                                              H,22604,10714,5609,4325,0,1502,0,0,0,0,0,454,,
          15 - 60 anos                                       HM,161615,79554,37611,28080,0,13615,0,0,0,0,0,2755,,
                                                              H,81747,40505,18995,14252,0,6542,0,0,0,0,0,1453,,
            Activos                                          HM,111613,54728,25878,19169,0,9812,0,0,0,0,0,2026,,
                                                              H,62492,31425,14495,10674,0,4764,0,0,0,0,0,1134,,
            Inactivos                                        HM,50002,24826,11733,8911,0,3803,0,0,0,0,0,729,,
                                                              H,19255,9080,4500,3578,0,1778,0,0,0,0,0,319,,
          61 - 65 anos                                       HM,10675,5596,2181,1719,0,1066,0,0,0,0,0,113,,
                                                              H,5006,2647,1024,816,0,463,0,0,0,0,0,56,,
            Activos                                          HM,2537,1334,546,413,0,223,0,0,0,0,0,21,,
                                                              H,1609,901,337,246,0,111,0,0,0,0,0,14,,
            Inactivos                                        HM,8138,4262,1635,1306,0,843,0,0,0,0,0,92,,
                                                              H,3397,1746,687,570,0,352,0,0,0,0,0,42,,
          66 - 70 anos                                       HM,8965,4939,1841,1295,0,794,0,0,0,0,0,96,,
                                                              H,4114,2258,854,587,0,363,0,0,0,0,0,52,,
            Activos                                          HM,514,251,114,76,0,70,0,0,0,0,0,3,,
                                                              H,357,176,88,45,0,46,0,0,0,0,0,2,,
            Inactivos                                        HM,8451,4688,1727,1219,0,724,0,0,0,0,0,93,,
                                                              H,3757,2082,766,542,0,317,0,0,0,0,0,50,,
          Mais de 70 anos                                    HM,21320,12127,3876,3057,0,1986,0,0,0,0,0,274,,
                                                              H,8063,4838,1432,1081,0,609,0,0,0,0,0,103,,
            Activos                                          HM,256,125,44,42,0,37,0,0,0,0,0,8,,
                                                              H,200,94,34,37,0,30,0,0,0,0,0,5,,
            Inactivos                                        HM,21064,12002,3832,3015,0,1949,0,0,0,0,0,266,,
                                                              H,7863,4744,1398,1044,0,579,0,0,0,0,0,98,,
    Região Autónoma da Madeira                               HM,267785,115271,13122,0,26732,0,0,111541,0,0,0,1119,,
                                                              H,126268,54387,6467,0,12980,0,0,51899,0,0,0,535,,
        Menos de 15 anos                                     HM,44012,19636,2672,0,5164,0,0,16336,0,0,0,204,,
                                                              H,22554,10032,1369,0,2713,0,0,8347,0,0,0,93,,
        15 - 60 anos                                         HM,173463,73255,9281,0,17821,0,0,72385,0,0,0,721,,
                                                              H,84886,36149,4599,0,8872,0,0,34892,0,0,0,374,,
          Activos                                            HM,122927,50290,7227,0,12336,0,0,52596,0,0,0,478,,
                                                              H,63568,26786,3599,0,6605,0,0,26302,0,0,0,276,,
          Inactivos                                          HM,50536,22965,2054,0,5485,0,0,19789,0,0,0,243,,
                                                              H,21318,9363,1000,0,2267,0,0,8590,0,0,0,98,,
        61 - 65 anos                                         HM,12854,5223,374,0,1072,0,0,6141,0,0,0,44,,
                                                              H,5610,2226,186,0,462,0,0,2720,0,0,0,16,,
          Activos                                            HM,3435,1327,94,0,250,0,0,1755,0,0,0,9,,
                                                              H,1969,778,62,0,157,0,0,967,0,0,0,5,,
          Inactivos                                          HM,9419,3896,280,0,822,0,0,4386,0,0,0,35,,
                                                              H,3641,1448,124,0,305,0,0,1753,0,0,0,11,,
        66 - 70 anos                                         HM,10983,4932,256,0,870,0,0,4883,0,0,0,42,,
                                                              H,4328,1866,112,0,338,0,0,1995,0,0,0,17,,
          Activos                                            HM,720,287,19,0,49,0,0,363,0,0,0,2,,
                                                              H,446,163,15,0,34,0,0,234,0,0,0,0,,
          Inactivos                                          HM,10263,4645,237,0,821,0,0,4520,0,0,0,40,,
                                                              H,3882,1703,97,0,304,0,0,1761,0,0,0,17,,
        Mais de 70 anos                                      HM,26473,12225,539,0,1805,0,0,11796,0,0,0,108,,
