"4.14 - FAMÍLIAS CLÁSSICAS, SEGUNDO A SUA DIMENSÃO E PESSOAS NAS FAMÍLIAS PELO NÚMERO DE PESSOAS COM ACTIVIDADE ECONÓMICA E PESSOAS A CARGO ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas segundo a dimensão (pessoas),,,,,,,,,,Pessoas nas famílias,,,
Número de pessoas com actividade económica e número de pessoas a cargo,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9 ou mais,,,,
            2 pessoas a cargo,8670,0,16,628,7048,762,192,22,2,0,35240,,,
            3 pessoas a cargo,2442,0,0,14,484,1596,266,68,11,3,12146,,,
            4 ou mais pessoas a cargo,864,0,0,0,6,183,368,169,74,64,5584,,,
          3 ou mais pessoas activas,8659,0,0,1367,2864,2084,1145,529,281,389,42866,,,
            Nenhuma pessoa a cargo,2075,0,0,1008,738,255,65,9,0,0,7704,,,
            1 pessoa a cargo,2765,0,0,320,1496,682,204,55,6,2,12030,,,
            2 pessoas a cargo,2031,0,0,39,578,813,416,121,47,17,10372,,,
            3 pessoas a cargo,935,0,0,0,51,274,333,171,64,42,5681,,,
            4 ou mais pessoas a cargo,853,0,0,0,1,60,127,173,164,328,7079,,,
    Região Autónoma da Madeira,92823,18141,23705,22738,17535,6572,2489,893,399,351,264652,,,
        Nenhuma pessoa activa,21885,10158,8852,1891,647,211,72,32,15,7,38019,,,
          Nenhuma pessoa a cargo,17726,9911,6977,715,103,16,2,2,0,0,26528,,,
          1 pessoa a cargo,2912,247,1787,733,119,22,2,2,0,0,6632,,,
          2 pessoas a cargo,773,0,88,410,228,33,8,4,1,1,2576,,,
          3 pessoas a cargo,305,0,0,33,182,71,13,5,1,0,1303,,,
          4 ou mais pessoas a cargo,169,0,0,0,15,69,47,19,13,6,980,,,
        1 pessoa activa,27339,7983,7861,6396,3357,1194,371,108,56,13,65845,,,
          Nenhuma pessoa a cargo,14406,7822,4495,1831,222,30,6,0,0,0,23379,,,
          1 pessoa a cargo,6498,161,3320,2346,563,94,11,1,2,0,16650,,,
