"6.14 - POPULAÇÃO RESIDENTE, SEGUNDO OS PAÍSES DE PROVENIÊNCIA( RELATIVAMENTE A 31/12/2005), POR PAÍSES DE NATURALIDADE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População Residente em 2011,,Imigrante no município,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Proveniente de outros municípios,,Proveniente do estrangeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Países de naturalidade,,,,,Total,,França,,Países Baixos,,Alemanha,,Itália,,Reino Unido,,Irlanda,,Espanha,,Bélgica,,Luxemburgo,,Suiça,,Andorra,,Roménia,,Bulgária,,Ucrânia,,"Moldova, República de",,PALOP,,África do Sul,,Estados Unidos,,Canadá,,"Venezuela, República Bolivariana da",,Brasil,,Índia,,China,,Outros,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
    São Tomé e Príncipe,18645,8247,1912,878,3826,1648,10,6,1,1,2,1,0,0,27,14,6,3,15,9,0,0,1,0,7,4,1,1,0,0,0,0,0,0,0,0,3709,1586,0,0,5,2,1,1,0,0,12,6,0,0,0,0,29,14
    Outros países - África,12651,6829,1206,736,2290,1262,80,42,7,6,12,10,30,23,64,26,8,5,81,61,17,12,2,1,19,10,0,0,1,0,0,0,1,1,0,0,61,37,18,10,9,8,5,3,3,3,14,7,0,0,1,1,1857,996
    América,186165,80345,20734,9068,47625,19300,184,98,38,21,95,33,106,48,383,167,28,12,612,266,46,18,14,6,103,40,12,2,4,3,7,5,1,0,6,2,88,36,6,3,1179,598,456,212,1542,670,41241,16435,6,4,8,4,1460,617
    Argentina,1375,644,128,60,231,109,8,4,1,1,5,1,8,6,4,4,3,3,38,18,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,10,5,1,1,1,0,15,7,0,0,0,0,133,57
    Brasil,139703,58979,16226,7038,42671,17084,121,61,15,8,64,22,74,32,229,97,15,4,363,167,32,13,10,4,72,22,7,1,2,1,5,3,0,0,0,0,48,15,3,1,231,128,28,14,7,4,41164,16405,6,4,7,3,168,75
    Canadá,7572,3531,755,324,477,227,7,6,3,2,3,1,1,0,19,11,0,0,3,2,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,11,8,408,189,0,0,6,2,0,0,0,0,11,3
    Estados Unidos da América,7242,3466,638,297,1024,517,10,4,6,4,7,3,5,3,21,6,9,5,12,8,4,1,1,0,5,4,0,0,0,0,1,1,0,0,0,0,12,6,0,0,855,428,9,4,2,1,27,11,0,0,0,0,38,28
"    Venezuela, República Bolivariana da",25157,11634,2521,1145,1797,811,26,19,5,2,6,3,4,3,79,40,1,0,71,37,2,0,2,1,19,11,2,1,1,1,0,0,0,0,0,0,5,4,3,2,26,12,3,3,1503,651,6,2,0,0,1,1,32,18
    Outros países - América,5116,2091,466,204,1425,552,12,4,8,4,10,3,14,4,31,9,0,0,125,34,6,2,0,0,7,3,0,0,1,1,1,1,0,0,6,2,21,9,0,0,46,17,7,1,29,14,23,8,0,0,0,0,1078,436
    Ásia,32853,17977,3331,1951,8737,4965,89,58,25,14,63,39,129,73,113,50,30,19,129,74,21,11,2,1,16,11,1,1,9,6,0,0,32,15,21,7,32,15,3,2,31,16,7,3,3,1,21,10,1477,939,2670,1294,3813,2306
