"6.02 - POPULAÇÃO RESIDENTE SEGUNDO A DIMENSÃO DOS LUGARES, POPULAÇÃO ISOLADA, EMBARCADA CORPO DIPLOMÁTICO E SEXO POR GRUPO ETÁRIO",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Em lugares até 1999 habitantes,,Em lugares de 2000 a 4999 habitantes,,Em lugares de 5000 a 9999 habitantes,,Em lugares de 10000 a 19999 habitantes,,Em lugares de 20000 a 49999 habitantes,,Em lugares de 50000 a 99999 habitantes,,Em lugares de 100000 a 199999 habitantes,,Em lugares de 200000 a 499999 habitantes,,Em lugares de 500000 a 999999 habitantes,,Em lugares com 1000000 habitantes ou mais,,"População isolada, embarcada e corpo diplomático",
Zona Geográfica,,,,,,,,,,,,,,,,,,,,,,,,
Grupo Etário,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
          85 - 89 anos,49361,16496,21854,7679,3275,1105,2828,925,4560,1482,6879,2194,663,233,3580,1123,5178,1545,0,0,0,0,544,210
          90 ou mais anos,20163,5701,8753,2672,1393,406,1131,302,1957,529,2855,777,258,56,1355,347,2258,550,0,0,0,0,203,62
          Menos de 1 ano,32364,16363,11114,5613,2244,1199,2847,1459,4372,2145,5830,2939,589,307,3253,1659,1803,881,0,0,0,0,312,161
          18 ou mais anos,3007823,1417452,1160616,552863,207988,98885,236227,112694,358934,170274,493376,229439,52930,24623,262161,121822,202388,90117,0,0,0,0,33203,16735
      Centro,2327755,1111263,1459671,701469,240202,114455,101742,48085,146189,68571,217611,101923,0,0,105842,48816,0,0,0,0,0,0,56498,27944
          0 - 4 anos,95075,48583,54308,27808,11511,5930,5589,2822,6483,3289,10810,5472,0,0,4027,2055,0,0,0,0,0,0,2347,1207
          5 - 9 anos,106676,54908,63946,32898,12353,6380,5570,2897,7096,3745,10763,5491,0,0,4129,2097,0,0,0,0,0,0,2819,1400
          10 - 14 anos,117507,59893,72036,36732,12809,6581,5775,2985,7711,3893,11387,5769,0,0,4714,2319,0,0,0,0,0,0,3075,1614
          15 - 19 anos,118116,60247,72862,37295,12383,6323,5529,2789,7470,3743,11476,5772,0,0,5311,2700,0,0,0,0,0,0,3085,1625
          20 - 24 anos,121132,61322,73995,37848,12619,6288,5661,2778,7679,3907,12371,6066,0,0,5932,2939,0,0,0,0,0,0,2875,1496
          25 - 29 anos,134107,66751,76897,38856,14994,7361,7078,3458,8719,4318,15761,7567,0,0,7722,3700,0,0,0,0,0,0,2936,1491
          30 - 34 anos,157863,77586,89336,44279,18635,8940,8806,4306,10500,5094,18854,9162,0,0,8160,4034,0,0,0,0,0,0,3572,1771
          35 - 39 anos,167603,81625,98407,48470,19223,9243,8868,4300,11273,5340,18301,8659,0,0,7468,3567,0,0,0,0,0,0,4063,2046
          40 - 44 anos,163432,79587,99340,49188,17470,8395,7872,3743,10693,5045,16634,7728,0,0,7243,3379,0,0,0,0,0,0,4180,2109
          45 - 49 anos,167197,80852,104171,51460,16987,8087,7078,3241,10602,4991,16114,7298,0,0,8005,3651,0,0,0,0,0,0,4240,2124
          50 - 54 anos,160346,77742,100956,49915,16149,7735,6352,3014,10239,4744,14833,6737,0,0,7642,3475,0,0,0,0,0,0,4175,2122
          55 - 59 anos,151723,73174,97196,47488,14971,7165,5662,2560,9568,4512,13046,6083,0,0,7481,3393,0,0,0,0,0,0,3799,1973
          60 - 64 anos,145228,68676,95160,45462,13970,6636,5209,2428,8881,4071,11647,5289,0,0,7025,3150,0,0,0,0,0,0,3336,1640
          65 - 69 anos,134247,61508,91200,41870,11927,5575,4653,2095,7735,3445,10056,4573,0,0,5665,2537,0,0,0,0,0,0,3011,1413
          70 - 74 anos,127352,57285,88087,39858,11194,5070,4133,1808,7261,3105,8736,3930,0,0,5022,2134,0,0,0,0,0,0,2919,1380
          75 - 79 anos,112899,48228,79088,34064,9756,4110,3434,1427,6240,2592,7253,3046,0,0,4483,1775,0,0,0,0,0,0,2645,1214
          80 - 84 anos,81066,31619,56864,22548,6997,2682,2425,850,4377,1626,5309,1979,0,0,3194,1140,0,0,0,0,0,0,1900,794
          85 - 89 anos,45941,15856,32034,11339,4228,1417,1375,413,2504,808,2925,936,0,0,1820,563,0,0,0,0,0,0,1055,380
          90 ou mais anos,20245,5821,13788,4091,2026,537,673,171,1158,303,1335,366,0,0,799,208,0,0,0,0,0,0,466,145
          Menos de 1 ano,18792,9628,10609,5492,2269,1162,1174,609,1294,643,2194,1102,0,0,810,398,0,0,0,0,0,0,442,222
          18 ou mais anos,1938815,912277,1226287,581932,196191,91807,81523,37727,120505,55457,177918,81838,0,0,89941,40754,0,0,0,0,0,0,46450,22762
      Lisboa,2821876,1334605,329167,161161,281503,135897,351696,167255,462524,218711,199587,94118,461646,217637,175136,82342,0,0,547011,250501,0,0,13606,6983
          0 - 4 anos,144546,73729,16775,8517,15834,8056,19100,9760,25576,13023,10446,5374,23898,12089,8696,4472,0,0,23627,12151,0,0,594,287
