"6.34 - POPULAÇÃO RESIDENTE  EMPREGADA, SEGUNDO A SITUAÇÃO NA PROFISSÃO E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Zona Geográfica,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,,
,,,,,,,,,,,,,,,
Ramos de actividade económica,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,
      Valorização de materiais,7210,5242,504,409,148,122,8,8,6511,4676,3,3,36,24,
      Descontaminação e actividades similares,11,9,2,1,0,0,0,0,9,8,0,0,0,0,
      Promoção imobiliária (desenvolvimento de projectos de edifícios),1437,938,422,322,123,107,1,0,878,497,0,0,13,12,
      Construção de edifícios (residenciais e não residenciais),286910,267775,41069,38035,19640,19281,689,661,223156,207598,131,129,2225,2071,
"      Construção de  estradas, pontes, túneis, pistas de aeroportos e vias férreas",8086,7389,508,472,230,229,13,12,7289,6633,5,5,41,38,
"      Construção de redes de transporte de águas, de esgotos, de distribuição de energia, de telecomunicações  e de outras redes",2009,1785,178,159,44,43,1,1,1774,1573,1,1,11,8,
      Construção de outras obras de engenharia civil,11999,10766,631,539,76,70,5,3,11233,10103,6,6,48,45,
      Demolição e preparação dos locais de construção,5102,4670,867,755,482,477,21,21,3704,3394,1,1,27,22,
"      Instalação eléctrica, de canalizações, de climatização e outras instalações",36173,33004,6102,5532,4787,4748,77,74,24936,22405,24,23,247,222,
      Actividades de acabamento em edifícios,17923,16873,3951,3712,3520,3498,45,42,10240,9467,15,14,152,140,
      Outras actividades especializadas de construção,2608,2322,342,299,90,87,6,5,2155,1918,2,2,13,11,
      Comércio de veículos automóveis,27992,21504,3299,2771,2038,1911,63,49,22431,16660,6,4,155,109,
      Manutenção e reparação de veículos automóveis,62106,55650,11488,10350,7793,7703,252,221,42142,36997,22,19,409,360,
      Comércio de peças e acessórios para veículos automóveis,17304,13061,2619,2124,717,648,31,22,13856,10221,19,5,62,41,
"      Comércio, manutenção e reparação de motociclos, de suas peças e acessórios",2790,2332,626,528,594,573,12,5,1536,1207,3,2,19,17,
      Agentes do comércio por grosso,2489,1818,222,178,95,83,2,2,2135,1528,12,8,23,19,
      Comércio por grosso de produtos agrícolas brutos e animais vivos,7696,4971,1359,949,1479,1040,82,38,4721,2909,6,3,49,32,
"      Comércio por grosso de produtos alimentares, bebidas e tabaco",34150,20949,2975,2106,1208,866,94,43,29722,17837,6,4,145,93,
"      Comércio por grosso de bens de consumo, excepto alimentares, bebidas e tabaco",12314,7240,1748,1264,508,368,20,11,9929,5523,2,2,107,72,
      Comércio por grosso de equipamento das tecnologias  de informação e comunicação ( TIC),359,172,18,14,2,1,0,0,337,156,0,0,2,1,
"      Comércio por grosso de outras máquinas, equipamentos e suas partes",16718,12521,2991,2415,871,768,23,12,12770,9276,1,1,62,49,
"      Comércio por grosso de combustíveis, metais, materiais de construção, ferragens e outros produtos n.e.",27122,21660,4304,3484,2070,1914,109,85,20513,16076,9,8,117,93,
      Comércio por grosso não especializado,21913,14187,3020,2213,1049,814,44,27,17651,11024,4,3,145,106,
      Comércio a retalho em estabelecimentos não especializados,120360,42399,11978,6363,9737,3914,745,269,97337,31626,60,14,503,213,
"      Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados",65496,38101,12538,8102,9639,5424,781,331,42112,24009,47,28,379,207,
"      Comércio a retalho de combustível para veículos a motor, em estabelecimentos especializados",16577,9985,1886,1318,249,202,26,13,14327,8400,7,2,82,50,
"      Comércio a retalho de equipamento das tecnologias de informação e comunicação (TIC), em estabelecimentos especializados",14444,9741,2128,1695,966,842,20,8,11217,7114,2,1,111,81,
"      Comércio a retalho de outro equipamento  para uso doméstico, em estabelecimentos especializados",94074,55039,17161,11464,10018,5814,539,228,65838,37242,38,20,480,271,
"      Comércio a retalho de bens culturais e recreativos, em estabelecimentos especializados",19351,8323,3366,1837,3263,1452,170,59,12407,4905,8,4,137,66,
"      Comércio a retalho de outros produtos, em estabelecimentos especializados",182674,62418,29395,14494,22824,8856,1300,494,127855,38036,66,27,1234,511,
"      Comércio a retalho em bancas,  feiras e unidades móveis de venda",4413,2573,1095,643,2335,1396,112,51,804,445,0,0,67,38,
"      Comércio a retalho não efectuado em estabelecimentos,  bancas, feiras ou unidades móveis de venda",2953,1472,437,273,407,268,7,3,2061,918,1,1,40,9,
      Transporte interurbano  de passageiros por caminho-de-ferro,6267,5481,0,0,0,0,0,0,6256,5473,0,0,11,8,
      Transporte de mercadorias por caminho-de-ferro,203,187,0,0,0,0,0,0,203,187,0,0,0,0,
