"6.18 - POPULAÇÃO RESIDENTE, SEGUNDO O ESTADO CIVIL LEGAL E SEXO, POR VIVENCIA EM UNIÃO DE FACTO E GRUPO ETÁRIO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,Total,,Solteiro,,Casado,,Divorciado,,Viúvo,,,,,,,,,,,,,,,,,,,
Vivência em união de facto e grupo etário,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HM,H,HM,H,HM,H,HM,H,HM,H,,,,,,,,,,,,,,,,,,
          45 - 49 anos,155550,74841,15879,9312,124292,60165,12541,4930,2838,434,,,,,,,,,,,,,,,,,,
          50 - 54 anos,151665,73081,11494,6481,123493,61208,11503,4554,5175,838,,,,,,,,,,,,,,,,,,
          55 - 59 anos,145535,69713,8550,4376,119942,60313,9238,3746,7805,1278,,,,,,,,,,,,,,,,,,
          60 - 64 anos,140892,66161,6811,2793,115165,58502,7019,2932,11897,1934,,,,,,,,,,,,,,,,,,
          65 - 69 anos,131251,59799,6056,2036,103063,53162,4634,1853,17498,2748,,,,,,,,,,,,,,,,,,
          70 - 74 anos,125340,56029,5917,1828,90040,48464,3175,1198,26208,4539,,,,,,,,,,,,,,,,,,
          75 ou mais anos,257819,99965,14880,3225,125071,73071,4054,1253,113814,22416,,,,,,,,,,,,,,,,,,
      Lisboa,2821876,1334605,1255673,637977,1165941,581135,209885,82505,190377,32988,,,,,,,,,,,,,,,,,,
        Vive em união de facto,281906,141720,201425,101201,8533,4652,63468,32702,8480,3165,,,,,,,,,,,,,,,,,,
          Menos de 15 anos,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
          15 - 19 anos,2042,513,2037,510,2,1,2,2,1,0,,,,,,,,,,,,,,,,,,
          20 - 24 anos,17565,6667,17361,6625,73,18,126,22,5,2,,,,,,,,,,,,,,,,,,
          25 - 29 anos,46495,21144,44833,20669,331,94,1304,373,27,8,,,,,,,,,,,,,,,,,,
          30 - 34 anos,57601,28884,51101,26323,814,345,5590,2205,96,11,,,,,,,,,,,,,,,,,,
          35 - 39 anos,47717,24456,36083,19238,1183,559,10210,4614,241,45,,,,,,,,,,,,,,,,,,
          40 - 44 anos,32664,16953,20072,10939,1332,654,10810,5289,450,71,,,,,,,,,,,,,,,,,,
          45 - 49 anos,24596,12884,12262,6875,1286,671,10323,5183,725,155,,,,,,,,,,,,,,,,,,
          50 - 54 anos,18400,9862,7439,4245,1116,623,8909,4730,936,264,,,,,,,,,,,,,,,,,,
          55 - 59 anos,13476,7617,4621,2665,868,549,6927,4093,1060,310,,,,,,,,,,,,,,,,,,
          60 - 64 anos,8912,5240,2421,1345,605,417,4719,3027,1167,451,,,,,,,,,,,,,,,,,,
          65 - 69 anos,5387,3218,1354,730,412,305,2481,1696,1140,487,,,,,,,,,,,,,,,,,,
          70 - 74 anos,3400,2068,941,532,289,227,1168,839,1002,470,,,,,,,,,,,,,,,,,,
          75 ou mais anos,3651,2214,900,505,222,189,899,629,1630,891,,,,,,,,,,,,,,,,,,
        Não vive em união de facto,2539970,1192885,1054248,536776,1157408,576483,146417,49803,181897,29823,,,,,,,,,,,,,,,,,,
