"6.05 - POPULAÇÃO RESIDENTE, SEGUNDO O GRUPO ETÁRIO, POR NACIONALIDADE E SEXO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona Geográfica,Total,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 a 84 anos,De 85 ou mais anos,,,,,,,,,
Nacionalidade e sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                                           H,1147,12,23,40,77,121,167,159,151,142,129,62,31,15,7,6,2,1,2,,,,,,,,,
      Outros países - América  HM,2585,51,76,144,127,182,299,400,361,296,258,124,101,68,47,22,15,9,5,,,,,,,,,
                               H,1062,30,38,81,63,77,103,133,154,120,117,43,42,23,22,8,2,5,1,,,,,,,,,
      Ásia  HM,21387,973,888,898,1242,1959,2616,3093,3078,2514,1811,1036,582,304,157,98,61,36,41,,,,,,,,,
            H,12298,488,458,494,702,1105,1441,1854,1846,1539,1080,596,345,168,83,52,24,14,9,,,,,,,,,
      China  HM,11017,660,559,520,739,1088,1205,1342,1512,1327,1014,460,276,150,85,39,29,6,6,,,,,,,,,
             H,5709,332,286,273,406,549,563,678,770,736,580,245,142,69,44,22,10,4,0,,,,,,,,,
      Índia  HM,3019,88,98,81,124,232,394,555,479,342,235,176,71,44,29,23,14,18,16,,,,,,,,,
             H,2059,51,58,51,88,164,260,374,356,248,163,127,47,32,17,12,6,3,2,,,,,,,,,
      Japão  HM,244,5,6,6,6,6,14,19,31,31,27,21,22,27,10,9,3,0,1,,,,,,,,,
             H,104,2,3,3,2,5,4,6,11,8,9,7,12,16,7,7,1,0,1,,,,,,,,,
      Macau  HM,21,0,0,0,2,1,2,1,0,1,1,3,0,2,1,3,1,1,2,,,,,,,,,
             H,7,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,1,1,,,,,,,,,
      Paquistão  HM,1613,63,78,102,138,182,142,207,209,160,139,92,49,24,4,8,6,4,6,,,,,,,,,
                 H,1068,32,39,65,81,104,94,144,160,124,94,64,39,15,2,4,3,3,1,,,,,,,,,
      Timor Leste  HM,146,2,5,2,0,22,34,20,13,14,8,7,3,4,7,2,1,0,2,,,,,,,,,
                   H,70,0,4,1,0,7,16,9,6,12,4,3,1,2,4,1,0,0,0,,,,,,,,,
      Outros países - Ásia  HM,5327,155,142,187,233,428,825,949,834,639,387,277,161,53,21,14,7,7,8,,,,,,,,,
                            H,3281,71,68,101,125,276,504,643,543,410,230,148,104,33,9,5,4,3,4,,,,,,,,,
      Oceânia  HM,372,12,9,18,24,24,20,24,41,40,30,25,24,28,26,16,8,3,0,,,,,,,,,
               H,182,7,5,6,12,11,11,14,19,15,7,14,15,15,15,10,4,2,0,,,,,,,,,
      Austrália  HM,314,10,7,12,22,20,18,19,31,35,23,22,21,24,25,16,6,3,0,,,,,,,,,
                 H,161,6,4,5,11,9,10,12,13,15,7,12,14,13,15,10,3,2,0,,,,,,,,,
      Outros países da Oceânia  HM,58,2,2,6,2,4,2,5,10,5,7,3,3,4,1,0,2,0,0,,,,,,,,,
                                H,21,1,1,1,1,2,1,2,6,0,0,2,1,2,0,0,1,0,0,,,,,,,,,
      Outros países  HM,4,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,,,,,,,,,
                     H,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,
      Dupla nacionalidade  HM,244745,14724,13788,15058,17011,17224,19670,25751,28928,23135,17625,12982,10144,8209,6992,5663,4050,2334,1457,,,,,,,,,
                           H,116602,7555,7039,7688,8575,8295,9001,11488,13335,10856,8510,6167,4661,3841,3421,2750,1905,1020,495,,,,,,,,,
      Dupla nacionalidade portuguesa e outra  HM,210218,13148,12107,12922,14746,14732,16398,21633,24544,19723,15080,11171,8808,7156,6127,4984,3599,2076,1264,,,,,,,,,
                                              H,100222,6727,6160,6622,7458,7129,7508,9670,11304,9220,7278,5288,4042,3369,2997,2400,1699,917,434,,,,,,,,,
      Dupla nacionalidade estrangeira  HM,34527,1576,1681,2136,2265,2492,3272,4118,4384,3412,2545,1811,1336,1053,865,679,451,258,193,,,,,,,,,
                                       H,16380,828,879,1066,1117,1166,1493,1818,2031,1636,1232,879,619,472,424,350,206,103,61,,,,,,,,,
"      Dupla nacionalidade estrangeira, sendo uma da União Europeia  HM",12209,793,812,856,808,715,937,1311,1603,1079,676,549,473,486,429,318,188,96,80,,,,,,,,,
                                                                    H,5803,415,432,443,400,344,437,582,687,513,337,266,224,209,210,161,83,35,25,,,,,,,,,
"      Dupla nacionalidade estrangeira, nenhuma da União Europeia  HM",22318,783,869,1280,1457,1777,2335,2807,2781,2333,1869,1262,863,567,436,361,263,162,113,,,,,,,,,
                                                                  H,10577,413,447,623,717,822,1056,1236,1344,1123,895,613,395,263,214,189,123,68,36,,,,,,,,,
      Apátrida  HM,553,12,21,22,42,40,46,76,100,56,42,32,22,17,7,10,5,3,0,,,,,,,,,
                H,284,5,16,10,19,17,25,40,48,32,22,18,10,9,3,6,2,2,0,,,,,,,,,
