"3.19 - ALOJAMENTOS CLÁSSICOS PROPRIEDADE DOS OCUPANTES, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O NÚMERO DE DIVISÕES, POR GRUPO SÓCIO-ECONÓMICO DO TITULAR DO ALOJAMENTO, EXISTÊNCIA DE ENCARGOS POR COMPRA E RESPECTIVOS ESCALÕES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,"Alojamentos clássicos, segundo o número de divisões",,,,,,,,,,Famílias clássicas,Pessoas residentes,
Grupo sócio-económico do titular do alojamento e escalão de encargos,,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9,Com 10 ou mais ,,,
        Sem encargos,5032,1,30,177,868,1697,968,621,289,186,195,5065,14090,
        Com encargos,8216,2,40,357,1919,3010,1449,748,339,173,179,8238,24905,
        Menos de 75 euros,143,0,1,13,36,50,28,8,3,2,2,143,401,
"        75  - 99,99 euros",122,1,3,6,23,45,27,6,7,0,4,122,336,
"        100 - 149,99 euros",272,0,2,18,78,96,39,17,11,5,6,272,746,
        150 - 199.99 euros,426,0,5,24,134,152,61,32,15,3,0,426,1204,
"        200 - 249,99 euros",564,0,7,51,167,185,83,35,20,9,7,566,1596,
"        250 - 299,99 euros",802,0,5,66,244,291,97,54,24,9,12,804,2279,
"        300 - 349,99 euros",800,1,4,43,239,315,114,41,18,12,13,800,2370,
"        350 - 399,99 euros",862,0,5,37,229,325,153,66,24,9,14,864,2605,
"        400 - 499,99 euros",1464,0,3,42,349,580,249,124,56,32,29,1471,4485,
"        500 - 649,99 euros",1294,0,3,39,237,510,255,126,64,35,25,1299,4117,
"        650 - 799,99 euros",719,0,1,14,116,261,164,85,43,15,20,722,2307,
        800 euros ou mais,748,0,1,4,67,200,179,154,54,42,47,749,2459,
      Trabalhadores industriais e artesanais independentes,46306,53,297,1802,10018,17479,8153,4286,2069,1130,1019,46590,149937,
        Sem encargos,26354,40,182,1006,5132,9752,4877,2701,1321,721,622,26563,82829,
        Com encargos,19952,13,115,796,4886,7727,3276,1585,748,409,397,20027,67108,
        Menos de 75 euros,581,1,10,29,166,202,89,34,26,15,9,583,1800,
"        75  - 99,99 euros",426,1,3,20,99,177,64,33,18,8,3,427,1394,
"        100 - 149,99 euros",1134,1,11,44,304,440,184,70,38,30,12,1138,3747,
        150 - 199.99 euros,1499,2,11,72,371,569,238,137,49,24,26,1504,4991,
"        200 - 249,99 euros",1866,0,11,88,486,725,281,138,64,43,30,1873,6222,
"        250 - 299,99 euros",2452,0,14,131,665,918,368,175,86,39,56,2460,8303,
"        300 - 349,99 euros",2304,0,14,102,634,886,343,168,59,47,51,2316,7796,
"        350 - 399,99 euros",2207,1,11,71,583,878,318,174,90,39,42,2213,7548,
"        400 - 499,99 euros",3539,3,17,115,860,1434,595,251,134,62,68,3551,11868,
"        500 - 649,99 euros",2134,2,10,67,409,831,400,216,91,53,55,2140,7289,
"        650 - 799,99 euros",1132,1,2,41,198,447,230,109,54,26,24,1140,3865,
        800 euros ou mais,678,1,1,16,111,220,166,80,39,23,21,682,2285,
      Prestadores de serviços e comerciantes independentes,45714,64,332,2260,11033,16295,7596,4003,1982,1080,1069,46044,132701,
        Sem encargos,24355,41,196,1113,5202,8509,4343,2404,1232,671,644,24569,67390,
        Com encargos,21359,23,136,1147,5831,7786,3253,1599,750,409,425,21475,65311,
        Menos de 75 euros,571,3,9,41,180,197,58,46,11,17,9,575,1523,
"        75  - 99,99 euros",404,1,3,26,109,137,62,34,15,6,11,405,1150,
"        100 - 149,99 euros",963,5,7,82,265,361,115,54,26,26,22,970,2812,
        150 - 199.99 euros,1344,1,9,105,426,464,186,78,36,18,21,1353,3990,
"        200 - 249,99 euros",1819,1,20,134,580,638,232,108,48,36,22,1824,5375,
"        250 - 299,99 euros",2330,4,22,155,763,841,285,125,66,37,32,2337,6921,
"        300 - 349,99 euros",2332,0,15,148,736,853,307,139,64,34,36,2339,7054,
"        350 - 399,99 euros",2223,0,11,109,662,874,283,133,75,36,40,2232,6878,
"        400 - 499,99 euros",4009,2,22,195,1098,1514,615,276,143,73,71,4046,12400,
"        500 - 649,99 euros",2641,3,6,79,558,1007,492,261,116,51,68,2647,8393,
"        650 - 799,99 euros",1494,0,8,45,292,488,361,162,65,31,42,1508,4754,
        800 euros ou mais,1229,3,4,28,162,412,257,183,85,44,51,1239,4061,
      Trabalhadores independentes do sector primário,21504,51,242,912,3774,7321,4330,2477,1140,632,625,21643,65758,
        Sem encargos,17609,48,205,755,3121,5991,3575,2020,895,497,502,17722,52303,
        Com encargos,3895,3,37,157,653,1330,755,457,245,135,123,3921,13455,
        Menos de 75 euros,200,0,5,9,32,57,40,25,11,10,11,201,644,
"        75  - 99,99 euros",108,0,1,2,22,36,19,12,4,5,7,108,348,
"        100 - 149,99 euros",264,1,5,14,57,77,50,31,14,8,7,268,944,
        150 - 199.99 euros,291,0,3,13,58,107,54,29,13,9,5,293,970,
"        200 - 249,99 euros",340,0,2,15,76,120,61,32,19,7,8,341,1153,
"        250 - 299,99 euros",394,0,3,13,71,159,78,34,21,8,7,396,1400,
"        300 - 349,99 euros",350,0,0,19,55,146,58,37,17,14,4,351,1248,
"        350 - 399,99 euros",335,1,4,17,45,119,59,45,23,11,11,336,1172,
"        400 - 499,99 euros",618,0,4,23,106,213,114,78,42,21,17,623,2083,
"        500 - 649,99 euros",377,0,4,7,56,112,90,55,28,14,11,379,1332,
"        650 - 799,99 euros",374,1,5,22,39,121,80,44,28,15,19,379,1295,
        800 euros ou mais,244,0,1,3,36,63,52,35,25,13,16,246,866,
