"6.11 - POPULAÇÃO RESIDENTE, SEGUNDO OS PAÍSES DE PROVENIÊNCIA( RELATIVAMENTE A 31/12/2009), POR MUNICIPIO DE RESIDÊNCIA HABITUAL EM 21/03/2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População Residente em 2011,,Imigrante no município,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Proveniente de outros municípios,,Proveniente do estrangeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Municipios de residência habitual em 21/03/2011,,,,,Total,,França,,Países Baixos,,Alemanha,,Itália,,Reino Unido,,Irlanda,,Espanha,,Bélgica,,Luxemburgo,,Suiça,,Andorra,,Roménia,,Bulgária,,Ucrânia,,"Moldova, República de",,PALOP,,África do Sul,,Estados Unidos,,Canadá,,"Venezuela, República Bolivariana da",,Brasil,,Índia,,China,,Outros,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
            Resende,11364,5523,136,63,31,19,5,5,0,0,0,0,0,0,0,0,0,0,8,4,2,1,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
          Entre Douro e Vouga,274859,132784,5437,2626,1593,895,399,230,18,11,73,43,13,7,99,53,9,5,201,128,20,8,60,40,289,156,4,2,34,19,1,1,27,13,0,0,67,48,12,4,42,24,5,2,62,32,89,35,0,0,6,3,63,31
            Arouca,22359,10799,258,122,115,67,51,29,0,0,2,2,0,0,2,1,0,0,3,2,1,1,2,2,33,19,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,9,4,0,0,0,0,4,1
            Santa Maria da Feira,139312,67402,2762,1337,789,448,215,125,10,7,48,29,6,4,32,18,6,4,128,81,3,2,17,12,135,72,3,1,10,6,0,0,10,3,0,0,32,22,9,3,16,9,3,1,30,13,44,20,0,0,2,2,30,14
            Oliveira de Azeméis,68611,33282,1247,593,396,214,75,41,4,3,11,4,4,2,53,26,1,0,40,24,4,2,24,12,66,33,0,0,17,9,0,0,15,9,0,0,8,6,1,1,11,8,0,0,28,18,19,6,0,0,1,0,14,10
            São João da Madeira,21713,10222,836,417,129,74,21,14,1,0,2,2,1,0,9,6,2,1,18,13,4,1,4,3,20,11,0,0,1,1,1,1,1,0,0,0,15,10,2,0,4,3,2,1,4,1,11,3,0,0,0,0,6,3
            Vale de Cambra,22864,11079,334,157,164,92,37,21,3,1,10,6,2,1,3,2,0,0,12,8,8,2,13,11,35,21,1,1,6,3,0,0,1,1,0,0,4,4,0,0,11,4,0,0,0,0,6,2,0,0,3,1,9,3
          Douro,205902,98444,3870,1807,1965,1133,666,369,19,11,91,50,13,7,18,11,11,8,186,120,40,23,42,27,525,314,42,26,38,27,46,26,13,9,0,0,79,41,0,0,12,5,4,2,0,0,57,22,2,1,12,4,49,30
            Carrazeda de Ansiães,6373,3066,107,47,125,76,44,24,0,0,3,1,0,0,1,1,0,0,14,11,0,0,4,2,9,7,9,5,0,0,18,11,0,0,0,0,9,6,0,0,1,1,2,1,0,0,2,0,0,0,0,0,9,6
            Freixo de Espada à Cinta,3780,1820,76,31,45,23,22,15,0,0,2,1,0,0,0,0,0,0,6,1,1,0,0,0,3,0,1,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Torre de Moncorvo,8572,4106,152,62,104,60,44,23,0,0,4,2,0,0,0,0,1,1,13,9,0,0,0,0,23,16,7,5,0,0,5,2,2,1,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0
