"6.40 - TRABALHADORES POR CONTA DE OUTRÉM, SEGUNDO O NÚMERO DE HORAS DE TRABALHO NA SEMANA DE REFERÊNCIA  E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Zona Geográfica,Total,,De 1 h a menos de 5 h,,De 5 h a menos de 15 h,,De 15 h a menos de 30 h,,De 30 h a menos de 35 h,,De 35 h a menos de 40 h,,De 40 h a menos de 45 h,, 45 h ou mais,
Ramos de actividade económica,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
          Actividades de  segurança privada,678,544,6,4,14,12,14,9,21,16,86,68,373,300,164,135
          Actividades  relacionadas com sistemas de segurança,8,7,0,0,1,1,0,0,0,0,1,1,6,5,0,0
          Actividades de investigação,3,3,0,0,1,1,0,0,0,0,0,0,1,1,1,1
          Actividades combinadas de apoio aos  edifícios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Actividades de limpeza,2133,181,106,5,207,4,316,13,170,8,373,39,759,78,202,34
          Actividades de plantação e manutenção de jardins,264,254,8,7,12,12,7,7,2,2,52,49,145,139,38,38
          Actividades de serviços administrativos e  de apoio,56,14,3,1,5,1,2,0,2,0,18,4,21,7,5,1
          Actividades dos centros de chamadas,17,7,0,0,0,0,1,1,0,0,2,0,14,6,0,0
"          Organização de feiras, congressos e outros eventos similares",68,33,2,1,2,1,5,3,2,0,31,13,15,8,11,7
"          Actividades de serviços de apoio prestados às empresas, n.e.",172,62,11,6,5,2,4,0,4,3,68,17,69,31,11,3
"          Administração pública em geral, económica e social",7154,4237,144,81,227,116,137,64,256,119,4459,2551,1455,985,476,321
"          Negócios estrangeiros, defesa, justiça, segurança, ordem pública e protecção civil",3685,3007,76,63,107,74,73,56,137,108,1285,1006,1171,969,836,731
          Actividades de segurança social obrigatória,473,110,10,2,12,5,4,0,17,5,341,79,73,16,16,3
          Educação pré-escolar,791,26,13,2,16,1,84,1,76,0,430,14,148,7,24,1
          Ensino básico (1º e 2º Ciclos),2722,400,40,6,54,2,340,52,318,55,1348,200,465,59,157,26
          Ensinos básico (3º Ciclo) e secundário,4376,1134,71,19,66,14,446,133,454,140,2101,517,777,187,461,124
          Ensinos pós-secundário não superior e superior,612,257,9,3,17,7,23,9,24,10,283,108,116,45,140,75
          Outras actividades educativas,451,197,9,3,27,15,55,26,39,12,179,69,101,48,41,24
          Actividades de serviços de apoio à educação,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Actividades dos estabelecimentos de saúde com internamento,2938,690,45,14,54,7,29,10,57,9,1448,325,918,184,387,141
"          Actividades de prática clínica em ambulatório, de medicina dentária e de odontologia",1962,454,35,5,58,11,33,4,57,12,1015,219,516,105,248,98
          Outras actividades de saúde humana,310,72,6,0,16,2,11,1,15,6,95,23,146,29,21,11
"          Actividades dos estabelecimentos de cuidados continuados integrados,  com alojamento",83,28,1,0,2,0,3,2,0,0,45,13,21,11,11,2
"          Actividades dos estabelecimentos para pessoas com  doença do foro mental e do abuso de drogas, com alojamento",16,5,0,0,1,1,0,0,0,0,8,2,5,1,2,1
"          Actividades de apoio social para pessoas idosas e com deficiência,  com alojamento",1978,300,33,4,47,8,55,9,53,6,1198,174,478,82,114,17
          Outras actividades de apoio  social com alojamento,146,14,5,0,4,0,3,0,2,0,80,7,42,6,10,1
"          Actividades de apoio social para pessoas idosas e com deficiência, sem alojamento",509,48,8,0,13,1,19,1,15,1,243,25,169,16,42,4
          Outras actividades de apoio social sem alojamento,1019,130,20,2,40,6,54,4,34,3,577,75,233,32,61,8
"          Actividades de teatro, de música, de dança e outras actividades artísticas e literárias",101,85,0,0,6,6,3,2,4,3,23,16,45,38,20,20
"          Actividades das bibliotecas, arquivos, museus e outras actividades culturais",215,76,4,1,7,2,8,1,10,3,131,45,42,17,13,7
          Lotarias e outros jogos de aposta,8,2,0,0,1,1,0,0,0,0,5,1,1,0,1,0
          Actividades desportivas,477,315,7,7,34,29,57,47,37,30,142,70,152,101,48,31
          Actividades de diversão e recreativas,52,28,1,1,1,0,2,1,2,2,13,5,26,16,7,3
"          Actividades de organizações económicas, patronais e profissionais",102,47,3,2,2,1,1,0,2,0,50,19,34,19,10,6
          Actividades de organizações sindicais,40,15,2,1,1,0,1,0,0,0,23,7,11,6,2,1
          Outras actividades de organizações associativas,459,219,12,6,27,14,38,7,18,10,177,62,108,55,79,65
          Reparação de computadores e de equipamento de comunicação,31,29,1,1,0,0,0,0,0,0,8,7,18,17,4,4
          Reparação de bens de uso pessoal e doméstico,51,42,3,1,1,1,1,0,0,0,9,7,32,28,5,5
          Outras actividades de serviços pessoais,455,71,6,0,35,8,19,4,5,1,64,10,246,28,80,20
          Actividades das famílias empregadoras de pessoal doméstico,2128,20,96,1,242,3,311,0,234,1,329,5,720,6,196,4
          Actividades de produção de bens pelas famílias para uso próprio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Actividades de produção de serviços pelas famílias para uso próprio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Actividades dos organismos internacionais e outras instituições extra-territoriais,190,137,0,0,3,1,1,1,3,3,13,7,148,109,22,16
    Região Autónoma da Madeira,92061,44608,959,380,3407,1490,3739,1035,3457,1182,27358,10534,41329,22232,11812,7755
        Culturas temporárias,614,413,19,12,26,16,33,24,37,26,165,95,246,169,88,71
        Culturas permanentes,100,69,1,1,4,2,4,2,6,5,22,17,50,32,13,10
        Cultura de materiais de propagação vegetativa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Produção animal,139,82,1,0,7,3,1,1,5,4,25,17,73,41,27,16
        Agricultura e produção animal combinadas,37,28,0,0,4,2,1,1,2,1,7,5,18,14,5,5
        Actividades dos serviços relacionados com a agricultura e com a produção animal,45,36,0,0,3,2,0,0,2,2,17,12,14,11,9,9
"        Caça, repovoamento cinegético  e actividades dos serviços relacionados",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
        Silvicultura e outras actividades florestais,49,38,0,0,2,1,0,0,0,0,18,14,29,23,0,0
        Exploração florestal,48,43,0,0,2,1,2,1,0,0,16,14,25,24,3,3
"        Extracção de cortiça, resina e apanha de outros produtos florestais, excepto madeira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Actividades dos serviços relacionados com a silvicultura e exploração florestal,47,41,2,2,4,3,0,0,1,1,26,24,12,9,2,2
        Pesca,551,527,1,1,19,17,12,11,13,13,45,37,93,82,368,366
        Aquicultura,12,9,0,0,0,0,0,0,1,0,4,2,6,6,1,1
        Extracção de hulha (inclui antracite),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Extracção de lenhite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Extracção de petróleo bruto,13,6,0,0,0,0,0,0,0,0,4,2,6,3,3,1
        Extracção de gás natural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Extracção e preparação de minérios de ferro,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
        Extracção e preparação de minérios metálicos não ferrosos,2,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0
"        Extracção de pedra, areia e argila",86,76,0,0,5,4,1,1,2,2,13,10,56,50,9,9
"        Indústrias extractivas, n.e.",36,30,0,0,1,1,0,0,2,2,5,3,22,18,6,6
"        Actividades dos serviços relacionados com a extracção de petróleo e gás, excepto a prospecção",4,2,0,0,0,0,0,0,0,0,0,0,3,1,1,1
        Outras actividades dos serviços relacionados com as indústrias extractivas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Abate de animais, preparação e conservação de carne e de produtos à base de carne",117,78,1,0,3,2,2,2,3,1,12,9,77,53,19,11
"        Preparação e conservação de peixes, crustáceos e moluscos",121,40,1,1,8,4,1,0,2,0,19,9,77,17,13,9
        Preparação e conservação de frutos e de produtos hortícolas,7,1,0,0,1,0,0,0,0,0,0,0,4,0,2,1
        Produção de óleos e gorduras animais e vegetais,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0
        Indústria de lacticínios,90,54,2,2,2,1,0,0,0,0,14,5,61,36,11,10
"        Transformação de cereais e leguminosas; fabricação de amidos, de féculas e de produtos afins",19,18,0,0,0,0,0,0,0,0,2,1,15,15,2,2
        Fabricação de produtos de padaria e outros produtos à base de farinha,507,264,2,0,19,8,14,7,9,2,53,32,293,145,117,70
        Fabricação de outros produtos alimentares,120,58,0,0,6,3,2,1,1,0,23,8,71,35,17,11
        Fabricação de alimentos para animais,32,26,0,0,1,1,0,0,1,1,1,1,25,19,4,4
        Indústria das bebidas,294,206,1,1,16,10,4,4,5,4,61,26,172,135,35,26
        Indústria do tabaco,31,27,0,0,2,1,0,0,3,3,7,6,15,14,4,3
        Preparação e fiação de fibras têxteis,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
        Tecelagem de têxteis,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
        Acabamento de têxteis,2,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0
        Fabricação de outros têxteis,360,9,24,0,81,0,89,1,43,0,29,3,78,5,16,0
"        Confecção de artigos de vestuário, excepto artigos de peles com pêlo",177,30,3,1,9,2,12,0,9,1,23,4,108,17,13,5
        Fabricação de artigos de peles com pêlo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fabricação de artigos de malha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Curtimenta e acabamento de peles sem pêlo e com pêlo; fabricação de artigos de viagem e de uso pessoal, de marroquinaria, de correeiro e de seleiro",3,2,0,0,1,0,1,1,0,0,0,0,0,0,1,1
        Indústria do calçado,10,5,0,0,0,0,1,0,0,0,2,0,7,5,0,0
"        Serração, aplainamento e impregnação da madeira",68,63,1,1,4,3,0,0,0,0,12,11,44,41,7,7
"        Fabricação de artigos de madeira, de cortiça, de espartaria e de cestaria, excepto mobiliário",358,332,6,5,13,10,3,1,7,6,38,37,246,229,45,44
"        Fabricação de pasta, de papel e cartão (excepto canelado)",6,3,0,0,0,0,1,1,0,0,0,0,4,2,1,0
        Fabricação de papel e de cartão canelados e de artigos de papel e de cartão,6,6,0,0,1,1,0,0,0,0,1,1,3,3,1,1
        Impressão e actividades dos serviços relacionados com a impressão,160,111,0,0,5,2,1,0,1,0,32,24,109,74,12,11
        Reprodução de suportes gravados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fabricação de produtos de coqueria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fabricação de produtos petrolíferos refinados e de aglomerados de combustíveis,36,23,1,1,2,1,0,0,0,0,14,6,16,13,3,2
"        Fabricação de produtos químicos de base, adubos e compostos azotados, matérias plásticas e borracha sintética, sob formas primárias",14,11,0,0,0,0,0,0,0,0,1,0,12,10,1,1
        Fabricação de pesticidas e  de outros produtos agroquímicos,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"        Fabricação de tintas, vernizes e produtos similares; mastiques; tintas de impressão",11,11,0,0,0,0,0,0,0,0,2,2,8,8,1,1
"        Fabricação de sabões e detergentes, produtos de limpeza e de polimento, perfumes e produtos de higiene",29,8,1,1,0,0,1,0,3,1,6,1,13,4,5,1
        Fabricação de outros produtos químicos,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0
        Fabricação de fibras sintéticas ou artificiais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fabricação de produtos farmacêuticos de base,10,4,0,0,0,0,0,0,2,2,7,2,1,0,0,0
        Fabricação de preparações farmacêuticas,84,33,1,0,5,3,0,0,3,0,8,2,42,14,25,14
        Fabricação de artigos de borracha,33,31,1,1,2,2,0,0,1,1,4,3,23,22,2,2
        Fabricação de artigos de matérias plásticas,35,18,0,0,0,0,0,0,0,0,14,3,19,14,2,1
        Fabricação de vidro e artigos de vidro,20,17,0,0,1,1,0,0,0,0,2,1,16,14,1,1
        Fabricação de produtos cerâmicos refractários,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fabricação de produtos cerâmicos para a construção,3,2,0,0,0,0,0,0,0,0,1,1,2,1,0,0
        Fabricação de outros  produtos de porcelana  e cerâmicos não refractários,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"        Fabricação de cimento, cal e gesso",21,15,0,0,0,0,1,0,0,0,9,6,8,7,3,2
"        Fabricação de produtos de betão, gesso e  cimento",105,92,1,1,6,3,1,0,0,0,14,10,58,54,25,24
"        Serragem, corte e acabamento de rochas ornamentais e de outras pedras de construção",50,44,1,1,3,3,4,4,0,0,4,1,30,28,8,7
        Fabricação de produtos abrasivos e de outros produtos minerais não metálicos,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0
        Siderurgia e fabricação de ferro-ligas,4,2,0,0,0,0,0,0,0,0,3,1,1,1,0,0
"        Fabricação de tubos, condutas, perfis ocos e respectivos acessórios,  de aço",3,2,0,0,0,0,0,0,0,0,1,0,2,2,0,0
        Outras actividades da primeira transformação do aço,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Obtenção e primeira transformação de metais preciosos e de outros metais não ferrosos,15,13,0,0,0,0,0,0,0,0,1,0,13,12,1,1
        Fundição de metais ferrosos e não ferrosos,18,17,0,0,1,0,0,0,0,0,2,2,14,14,1,1
        Fabricação de elementos de construção em metal,589,536,6,4,25,22,6,2,7,7,62,50,421,389,62,62
"        Fabricação de reservatórios, recipientes, caldeiras e radiadores metálicos para aquecimento central",39,33,0,0,3,2,2,2,0,0,5,4,27,23,2,2
        Fabricação de geradores de vapor (excepto caldeiras para aquecimento central),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fabricação de armas e munições,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Fabricação de produtos forjados, estampados e laminados; metalurgia dos pós",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Tratamento e revestimento de metais; actividades de mecânica geral,15,15,0,0,1,1,0,0,0,0,1,1,12,12,1,1
"        Fabricação de cutelaria, ferramentas e ferragens",20,19,0,0,0,0,1,1,0,0,1,1,13,13,5,4
        Fabricação de outros produtos metálicos,8,8,0,0,3,3,0,0,0,0,1,1,4,4,0,0
"        Fabricação de componentes  e de placas, electrónicos",34,30,0,0,0,0,0,0,0,0,4,4,27,23,3,3
        Fabricação de computadores e de equipamento periférico,2,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0
        Fabricação de aparelhos e equipamentos para comunicações,6,4,0,0,0,0,0,0,0,0,0,0,6,4,0,0
        Fabricação de receptores  de rádio e de televisão e bens de consumo similares,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"        Fabricação de instrumentos e aparelhos de medida, verificação e navegação; relógios e material de relojoaria",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"        Fabricação de equipamentos de radiação, electromedicina e electroterapêutico",4,4,0,0,0,0,0,0,1,1,1,1,2,2,0,0
        Fabricação de instrumentos e de equipamentos  ópticos e fotográficos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fabricação de suportes de informação magnéticos e ópticos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Fabricação de motores, geradores e transformadores eléctricos e fabricação de material de distribuição e de controlo para instalações eléctricas",14,14,0,0,0,0,0,0,0,0,2,2,11,11,1,1
        Fabricação de acumuladores e pilhas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fabricação de fios e cabos isolados e seus acessórios,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1
        Fabricação de lâmpadas eléctricas e de outro equipamento de iluminação,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0
        Fabricação de aparelhos para uso doméstico,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1
        Fabricação de outro equipamento eléctrico,9,8,0,0,2,2,0,0,0,0,3,2,3,3,1,1
        Fabricação de máquinas e de equipamentos para uso geral,15,7,0,0,0,0,0,0,0,0,6,3,5,1,4,3
        Fabricação de outras máquinas para uso geral,82,76,0,0,4,3,0,0,1,1,10,10,58,53,9,9
"        Fabricação de máquinas e de tractores para a agricultura, pecuária e silvicultura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Fabricação de máquinas-ferramentas, excepto portáteis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fabricação de outras máquinas e equipamento para uso específico,11,10,0,0,0,0,0,0,0,0,1,0,7,7,3,3
        Fabricação de veículos automóveis,38,36,1,1,2,1,0,0,0,0,5,5,23,22,7,7
"        Fabricação de carroçarias, reboques e semi-reboques",9,8,0,0,1,0,0,0,0,0,1,1,7,7,0,0
        Fabricação de componentes e acessórios para veículos automóveis,4,3,0,0,1,1,1,0,0,0,1,1,1,1,0,0
        Construção naval,33,25,0,0,0,0,0,0,0,0,10,7,20,15,3,3
        Fabricação de material circulante para caminhos-de-ferro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Fabricação de aeronaves, de veículos espaciais e equipamento relacionado",3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0
        Fabricação de veículos militares de combate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Fabricação de  equipamento de transporte, n.e.",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
        Fabrico de mobiliário e de colchões,107,95,2,2,6,5,0,0,3,3,14,11,65,59,17,15
"        Fabricação de joalharia, ourivesaria, bijutaria e artigos similares; cunhagem de moedas",6,1,1,0,0,0,0,0,0,0,0,0,3,1,2,0
        Fabricação de instrumentos musicais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fabricação de artigos de desporto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fabricação de jogos e de brinquedos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fabricação de instrumentos e material médico-cirurgico,15,9,0,0,1,1,0,0,0,0,0,0,11,6,3,2
"        Indústrias transformadoras, n.e.",17,13,0,0,1,1,1,0,0,0,5,3,8,7,2,2
"        Reparação e  manutenção de produtos metálicos, máquinas e equipamentos",156,133,1,1,7,7,1,1,3,2,29,19,98,89,17,14
        Instalação de máquinas e de equipamentos industriais,76,66,0,0,2,2,0,0,0,0,11,6,57,52,6,6
"        Produção, transporte, distribuição e comércio de electricidade",936,850,8,7,21,21,2,2,13,11,413,358,386,362,93,89
        Produção de gás; distribuição de combustíveis gasosos por condutas; comércio de gás por condutas,19,12,0,0,0,0,0,0,0,0,4,2,10,6,5,4
"        Produção e distribuição de vapor,  água quente e fria  e ar frio por conduta; produção de gelo",2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"        Captação, tratamento  e distribuição de água",298,240,1,1,6,3,0,0,2,1,139,103,121,105,29,27
"        Recolha, drenagem  e tratamento de águas residuais",38,31,0,0,4,3,1,1,2,1,9,8,19,15,3,3
        Recolha de resíduos,167,139,1,1,5,4,0,0,8,6,81,70,59,47,13,11
        Tratamento e eliminação de resíduos,21,19,1,1,2,2,0,0,0,0,5,4,12,12,1,0
        Valorização de materiais,197,141,1,1,1,1,2,2,2,0,37,20,136,103,18,14
        Descontaminação e actividades similares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Promoção imobiliária (desenvolvimento de projectos de edifícios),31,17,1,0,3,1,0,0,0,0,5,0,15,11,7,5
        Construção de edifícios (residenciais e não residenciais),7728,7325,71,69,306,287,99,91,133,121,918,768,4678,4523,1523,1466
"        Construção de  estradas, pontes, túneis, pistas de aeroportos e vias férreas",329,309,2,2,9,9,1,0,7,7,108,100,158,148,44,43
"        Construção de redes de transporte de águas, de esgotos, de distribuição de energia, de telecomunicações  e de outras redes",34,32,0,0,0,0,0,0,2,2,2,2,21,19,9,9
        Construção de outras obras de engenharia civil,251,213,2,1,2,2,1,1,4,4,64,43,88,77,90,85
        Demolição e preparação dos locais de construção,45,42,0,0,2,2,0,0,1,1,8,8,28,27,6,4
"        Instalação eléctrica, de canalizações, de climatização e outras instalações",494,469,2,2,13,13,5,3,4,4,70,61,333,320,67,66
        Actividades de acabamento em edifícios,261,248,0,0,17,16,5,4,0,0,24,22,172,164,43,42
        Outras actividades especializadas de construção,18,14,0,0,1,1,0,0,0,0,0,0,15,12,2,1
        Comércio de veículos automóveis,565,423,5,3,24,16,5,2,3,1,80,50,367,282,81,69
        Manutenção e reparação de veículos automóveis,1003,920,3,3,33,31,7,5,12,11,128,110,695,641,125,119
        Comércio de peças e acessórios para veículos automóveis,187,164,2,1,5,5,3,2,2,1,14,11,117,103,44,41
"        Comércio, manutenção e reparação de motociclos, de suas peças e acessórios",26,24,1,0,3,3,1,0,0,0,3,3,14,14,4,4
        Agentes do comércio por grosso,18,11,0,0,1,1,0,0,1,0,4,2,9,6,3,2
        Comércio por grosso de produtos agrícolas brutos e animais vivos,121,69,0,0,1,0,0,0,0,0,19,10,83,48,18,11
"        Comércio por grosso de produtos alimentares, bebidas e tabaco",751,502,7,5,20,14,7,1,11,8,108,70,458,295,140,109
"        Comércio por grosso de bens de consumo, excepto alimentares, bebidas e tabaco",136,88,0,0,4,2,0,0,3,3,27,15,81,52,21,16
        Comércio por grosso de equipamento das tecnologias  de informação e comunicação ( TIC),1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"        Comércio por grosso de outras máquinas, equipamentos e suas partes",158,123,1,0,9,6,1,1,1,1,29,19,99,79,18,17
"        Comércio por grosso de combustíveis, metais, materiais de construção, ferragens e outros produtos n.e.",332,263,3,2,9,6,3,3,7,5,53,30,198,168,59,49
        Comércio por grosso não especializado,317,206,4,1,16,7,3,1,5,3,44,28,201,136,44,30
        Comércio a retalho em estabelecimentos não especializados,3079,1000,32,13,104,25,185,46,50,10,241,78,2062,620,405,208
"        Comércio a retalho de produtos alimentares, bebidas e tabaco, em estabelecimentos especializados",1266,698,13,4,51,25,27,14,23,13,166,87,732,391,254,164
"        Comércio a retalho de combustível para veículos a motor, em estabelecimentos especializados",344,214,2,0,20,12,6,1,11,10,33,13,210,136,62,42
"        Comércio a retalho de equipamento das tecnologias de informação e comunicação (TIC), em estabelecimentos especializados",185,116,1,1,9,7,7,4,5,5,29,17,117,69,17,13
"        Comércio a retalho de outro equipamento  para uso doméstico, em estabelecimentos especializados",1592,834,21,6,76,22,89,12,36,5,143,81,995,562,232,146
"        Comércio a retalho de bens culturais e recreativos, em estabelecimentos especializados",282,101,4,2,12,3,6,4,4,2,33,13,181,64,42,13
"        Comércio a retalho de outros produtos, em estabelecimentos especializados",3322,850,43,9,106,26,156,25,78,13,340,97,2239,558,360,122
"        Comércio a retalho em bancas,  feiras e unidades móveis de venda",41,25,1,1,0,0,1,0,2,1,18,9,18,13,1,1
"        Comércio a retalho não efectuado em estabelecimentos,  bancas, feiras ou unidades móveis de venda",28,15,0,0,1,0,2,1,1,0,1,0,16,9,7,5
        Transporte interurbano  de passageiros por caminho-de-ferro,3,2,0,0,0,0,0,0,0,0,1,0,2,2,0,0
        Transporte de mercadorias por caminho-de-ferro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Outros transportes terrestres  de passageiros,1241,1149,4,3,39,37,21,20,13,12,168,133,736,692,260,252
        Transportes rodoviários de mercadorias e actividades de mudanças,496,445,4,4,18,15,9,7,5,5,82,64,282,257,96,93
        Transportes por oleodutos ou gasodutos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Transportes marítimos de passageiros,118,78,0,0,1,1,0,0,4,3,33,16,36,23,44,35
        Transportes marítimos de mercadorias,27,18,0,0,0,0,0,0,0,0,4,3,13,8,10,7
        Transportes de passageiros por vias navegáveis interiores,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
        Transportes de mercadorias por vias navegáveis interiores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Transportes aéreos de passageiros,265,166,2,1,11,6,12,8,14,9,114,77,90,57,22,8
        Transportes aéreos de mercadorias e transportes espaciais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Armazenagem,11,6,0,0,0,0,0,0,0,0,4,3,4,2,3,1
        Actividades auxiliares dos transportes,976,694,5,3,31,25,41,26,38,30,373,245,385,280,103,85
        Actividades postais sujeitas a obrigações do serviço universal,363,229,3,0,13,4,12,5,15,9,107,65,177,120,36,26
        Outras actividades postais e de courier,3,3,0,0,0,0,0,0,0,0,1,1,2,2,0,0
        Estabelecimentos hoteleiros,5755,2423,29,12,217,75,74,31,70,26,541,191,4029,1670,795,418
        Residencias para férias e outros alojamentos de curta duração,78,28,0,0,1,0,7,1,4,0,20,8,40,17,6,2
        Parques de campismo e de caravanismo,5,4,0,0,0,0,0,0,0,0,2,1,3,3,0,0
        Outros locais de alojamento,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
        Restaurantes (inclui actividades de restauração em meios móveis),4061,1574,57,20,152,55,123,44,95,37,387,125,2318,852,929,441
        Fornecimento de refeições para eventos e outras actividades de serviço de refeições,187,42,3,0,7,2,6,1,6,0,44,8,93,19,28,12
        Estabelecimentos de bebidas,1399,520,24,12,64,32,40,14,30,10,156,56,829,277,256,119
"        Edição  de livros, de jornais e de outras publicações",187,120,2,2,8,5,6,2,3,2,62,38,67,41,39,30
        Edição de programas informáticos,2,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0
"        Actividades cinematográficas, de vídeo e de produção de programas de televisão",58,40,2,2,4,1,6,4,4,3,6,6,23,13,13,11
        Actividades de gravação de som e edição de música,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Actividades de rádio,54,41,2,2,7,6,5,3,2,2,20,16,16,11,2,1
        Actividades de  televisão,95,67,1,1,1,1,1,1,2,1,55,36,22,15,13,12
        Actividades de telecomunicações por fio,790,521,6,3,41,22,21,11,38,19,158,112,405,255,121,99
        Actividades de telecomunicações sem fio,9,5,1,0,0,0,0,0,0,0,1,0,7,5,0,0
        Actividades de telecomunicações por satélite,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0
        Outras actividades de telecomunicações,14,7,0,0,1,0,1,1,1,0,2,1,8,5,1,0
        Consultoria e programação informática e actividades relacionadas,261,195,1,1,8,4,2,2,4,3,55,34,154,120,37,31
"        Actividades de processamento de dados, domiciliação de informação  e actividades relacionadas; portais Web",2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0
        Outras actividades dos serviços de informação,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
        Intermediação monetária,1078,588,6,2,39,21,11,2,18,8,303,172,426,201,275,182
        Actividades das sociedades gestoras de participações sociais,16,8,0,0,0,0,0,0,0,0,7,3,6,3,3,2
"        Trusts, fundos e  entidades financeiras similares",10,4,0,0,0,0,0,0,1,1,2,0,6,2,1,1
"        Outras actividades de serviços financeiros, excepto seguros e fundos de pensões",39,27,0,0,3,2,0,0,2,1,8,4,16,11,10,9
        Seguros,132,77,2,1,6,4,5,5,5,4,42,20,48,26,24,17
        Resseguros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fundos de pensões e regimes profissionais complementares,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"        Actividades auxiliares de serviços financeiros, excepto seguros e fundos de pensões",21,15,0,0,0,0,0,0,0,0,9,5,5,4,7,6
        Actividades auxiliares de seguros e de fundos de pensões,59,24,0,0,2,1,1,0,2,1,16,5,31,11,7,6
        Actividades de gestão de fundos,15,5,0,0,1,0,0,0,2,0,10,4,2,1,0,0
        Compra e venda de bens imobiliários,39,17,0,0,1,0,0,0,1,0,10,5,21,9,6,3
        Arrendamento de bens imobiliários,24,7,2,2,0,0,1,1,0,0,7,1,14,3,0,0
