"6.35 - POPULAÇÃO RESIDENTE EMPREGADA, SEGUNDO A SITUAÇÃO NA PROFISSÃO E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA E HORAS DE TRABALHO NA SEMANA DE REFERÊNCIA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica   ,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,
 Ramos de actividade económica Horas de trabalho na semana de referência,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
        Fabricação de equipamento eléctrico,17539,11912,898,739,176,144,11,9,16373,10951,19,19,62,50
          1 - 4 horas,42,31,5,4,4,3,0,0,32,23,0,0,1,1
          5 - 14 horas,545,333,48,38,14,12,0,0,481,281,0,0,2,2
          15 - 29 horas,137,75,20,14,8,6,2,1,102,49,0,0,5,5
          30 - 34 horas,122,68,16,14,11,6,0,0,93,47,0,0,2,1
          35 - 39 horas,1055,651,43,29,14,10,1,1,992,607,2,2,3,2
          40 - 44 horas,12497,8142,369,291,53,45,7,6,12021,7762,12,12,35,26
          45 ou mais horas,3141,2612,397,349,72,62,1,1,2652,2182,5,5,14,13
"        Fabricação de máquinas e de equipamentos, n.e.",20801,16882,2056,1809,540,514,22,18,18069,14449,11,9,103,83
          1 - 4 horas,62,48,13,11,15,15,0,0,33,21,0,0,1,1
          5 - 14 horas,696,573,90,78,22,20,0,0,576,468,2,2,6,5
          15 - 29 horas,184,119,26,19,25,23,6,6,120,68,0,0,7,3
          30 - 34 horas,182,129,30,23,28,24,0,0,117,76,0,0,7,6
          35 - 39 horas,1433,950,119,89,47,42,1,1,1251,808,0,0,15,10
          40 - 44 horas,13865,11176,813,695,211,205,9,7,12779,10222,6,5,47,42
          45 ou mais horas,4379,3887,965,894,192,185,6,4,3193,2786,3,2,20,16
"        Fabricação de veículos automóveis, reboques, semi-reboques e componentes para veículos automóveis",40352,24960,973,731,317,257,12,6,38821,23862,94,34,135,70
          1 - 4 horas,100,72,9,5,5,4,0,0,83,62,0,0,3,1
          5 - 14 horas,1215,682,58,39,16,13,0,0,1118,619,7,2,16,9
          15 - 29 horas,316,198,15,10,12,10,2,0,278,174,6,2,3,2
          30 - 34 horas,340,218,20,13,13,10,0,0,306,194,0,0,1,1
          35 - 39 horas,2558,1637,61,37,34,31,1,1,2441,1557,7,4,14,7
          40 - 44 horas,30494,18392,414,313,140,109,5,2,29811,17914,46,21,78,33
          45 ou mais horas,5329,3761,396,314,97,80,4,3,4784,3342,28,5,20,17
        Fabricação de outro equipamento de transporte,8237,6834,395,354,111,108,5,5,7673,6320,5,2,48,45
