"3.11- ALOJAMENTOS CLÁSSICOS OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O NÚMERO DE DIVISÕES, FAMÍLIAS CLÁSSICAS E PESSOAS RESIDENTES,  POR NÚMERO DE PESSOAS E FAMÍLIAS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,"Alojamentos clássicos, segundo o número de divisões",,,,,,,,,,,Total de divisões,Famílias clássicas,Pessoas residentes
Número de pessoas e número de famílias nos alojamentos,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9,Com 10 ou mais,,,
            Com 2 pessoas,1299,19,27,129,395,428,147,72,39,17,26,6327,2592,2598
            Com 3 pessoas,942,0,8,47,250,300,173,73,37,39,15,5018,1882,2826
            Com 4 pessoas,1213,1,9,40,201,430,222,130,76,49,55,6998,2424,4852
            Com 5 pessoas,1450,2,4,27,188,491,290,187,133,78,50,8667,2900,7250
            Com 6 pessoas,969,0,6,17,91,250,210,185,97,66,47,6120,1938,5814
            Com 7 pessoas,419,0,0,10,42,109,93,75,43,27,20,2634,838,2933
            Com 8 pessoas,117,0,1,0,11,33,25,14,14,9,10,759,234,936
            Com 9 ou mais pessoas,55,0,2,2,4,14,12,10,5,3,3,337,110,535
          Alojamentos com 3 ou mais famílias,907,3,11,27,136,326,152,99,72,36,45,5296,3239,4806
            Com 1 pessoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Com 2 pessoas,3,0,0,0,1,1,0,0,0,0,1,22,6,6
            Com 3 pessoas,238,1,5,15,53,96,39,11,5,5,8,1229,714,714
            Com 4 pessoas,196,0,2,7,31,82,45,12,15,1,1,1057,678,784
            Com 5 pessoas,138,0,2,0,18,57,17,19,10,7,8,834,513,690
            Com 6 pessoas,110,1,1,3,14,38,16,15,9,7,6,660,411,660
            Com 7 pessoas,74,0,0,1,6,19,14,17,10,4,3,472,261,518
            Com 8 pessoas,55,0,1,0,2,16,9,11,8,3,5,365,201,440
            Com 9 ou mais pessoas,93,1,0,1,11,17,12,14,15,9,13,657,455,994
      Lisboa,,,,,,,,,,,,,,
         Alojamentos,1127711,6870,25886,129335,438708,342956,109193,41754,17779,8057,7173,5156879,1144466,2785824
            Com 1 pessoa,273408,4080,12868,57428,114277,57724,16979,5661,2350,1062,979,1128372,273408,273408
            Com 2 pessoas,373784,1856,8163,44924,159691,106520,31636,11971,4946,2172,1905,1677838,377567,747568
            Com 3 pessoas,255437,592,3079,17293,102763,88770,26023,9596,4047,1746,1528,1201503,259353,766311
            Com 4 pessoas,161080,220,1217,6835,46193,66103,23923,9668,3880,1679,1362,810695,164237,644320
            Com 5 pessoas,42995,69,381,1928,10917,16046,7112,3274,1655,854,759,225349,45287,214975
            Com 6 pessoas,13677,24,128,605,3301,5105,2158,1049,591,350,366,73085,15187,82062
            Com 7 pessoas,4251,18,32,184,936,1564,747,333,185,104,148,23093,5108,29757
            Com 8 pessoas,1703,5,11,76,367,650,299,112,68,51,64,9274,2240,13624
            Com 9 ou mais pessoas,1376,6,7,62,263,474,316,90,57,39,62,7670,2079,13799
          Alojamentos com 1 família,1114704,6787,25649,128236,434231,338876,107661,41055,17410,7844,6955,5093311,1114704,2735826
            Com 1 pessoa,273399,4078,12868,57427,114273,57723,16979,5660,2350,1062,979,1128339,273399,273399
            Com 2 pessoas,369997,1822,8041,44421,158146,105578,31270,11833,4885,2133,1868,1660764,369997,739994
            Com 3 pessoas,252364,577,3036,17044,101673,87745,25689,9445,3947,1715,1493,1186652,252364,757092
            Com 4 pessoas,158799,210,1188,6692,45391,65350,23639,9541,3819,1644,1325,799412,158799,635196
            Com 5 pessoas,41350,61,357,1835,10420,15458,6911,3164,1603,817,724,216965,41350,206750
            Com 6 pessoas,12663,19,116,558,3046,4751,2008,967,542,321,335,67637,12663,75978
            Com 7 pessoas,3693,13,28,157,796,1370,662,287,160,86,134,20102,3693,25851
            Com 8 pessoas,1378,2,9,57,292,537,248,91,57,36,49,7495,1378,11024
            Com 9 ou mais pessoas,1061,5,6,45,194,364,255,67,47,30,48,5945,1061,10542
          Alojamentos com 2 famílias,10517,61,213,966,3792,3248,1148,521,277,141,150,50486,21020,38071
            Com 1 pessoa,7,2,0,1,3,0,0,1,0,0,0,24,7,7
            Com 2 pessoas,3786,34,122,503,1545,942,366,138,61,38,37,17065,7568,7572
            Com 3 pessoas,2229,10,36,196,811,738,225,101,70,15,27,10648,4457,6687
            Com 4 pessoas,1680,5,21,112,623,573,179,83,38,22,24,8173,3359,6720
            Com 5 pessoas,1261,3,17,73,406,435,157,83,41,22,24,6377,2521,6305
            Com 6 pessoas,770,2,10,37,197,271,108,65,39,19,22,4121,1540,4620
            Com 7 pessoas,414,4,4,20,111,151,54,32,17,14,7,2161,828,2898
            Com 8 pessoas,209,1,2,14,54,75,31,12,7,8,5,1091,418,1672
            Com 9 ou mais pessoas,161,0,1,10,42,63,28,6,4,3,4,826,322,1590
          Alojamentos com 3 ou mais famílias,2490,22,24,133,685,832,384,178,92,72,68,13082,8742,11927
            Com 1 pessoa,2,0,0,0,1,1,0,0,0,0,0,9,2,2
            Com 2 pessoas,1,0,0,0,0,0,0,0,0,1,0,9,2,2
            Com 3 pessoas,844,5,7,53,279,287,109,50,30,16,8,4203,2532,2532
            Com 4 pessoas,601,5,8,31,179,180,105,44,23,13,13,3110,2079,2404
            Com 5 pessoas,384,5,7,20,91,153,44,27,11,15,11,2007,1416,1920
            Com 6 pessoas,244,3,2,10,58,83,42,17,10,10,9,1327,984,1464
            Com 7 pessoas,144,1,0,7,29,43,31,14,8,4,7,830,587,1008
            Com 8 pessoas,116,2,0,5,21,38,20,9,4,7,10,688,444,928
            Com 9 ou mais pessoas,154,1,0,7,27,47,33,17,6,6,10,899,696,1667
      Alentejo,,,,,,,,,,,,,,
         Alojamentos,298767,1592,5582,25183,85120,97827,42722,20504,9589,5221,5427,1502147,301790,738193
            Com 1 pessoa,68569,1044,3053,11124,23221,17909,6583,2906,1253,700,776,307963,68569,68569
            Com 2 pessoas,102553,311,1648,8811,32565,33410,13736,6197,2758,1511,1606,506731,102995,205106
            Com 3 pessoas,67985,92,530,3419,18250,24694,10893,5107,2432,1262,1306,354263,68491,203955
            Com 4 pessoas,44272,59,227,1315,8503,16728,8450,4511,2182,1157,1140,244893,44781,177088
            Com 5 pessoas,11014,24,64,349,1876,3751,2211,1247,684,403,405,63143,11518,55070
            Com 6 pessoas,3058,38,31,110,493,945,605,373,201,140,122,17595,3528,18348
            Com 7 pessoas,832,19,17,32,134,248,149,101,59,31,42,4772,1131,5824
            Com 8 pessoas,301,3,7,10,51,91,63,37,14,8,17,1711,434,2408
            Com 9 ou mais pessoas,183,2,5,13,27,51,32,25,6,9,13,1076,343,1825
          Alojamentos com 1 família,296460,1544,5558,25041,84524,97086,42384,20301,9501,5163,5358,1490087,296460,728198
            Com 1 pessoa,68565,1044,3053,11123,23221,17907,6582,2906,1253,700,776,307944,68565,68565
            Com 2 pessoas,102110,305,1636,8756,32404,33288,13688,6179,2752,1506,1596,504656,102110,204220
