"6.31 - POPULAÇÃO RESIDENTE, COM ACTIVIDADE ECONÓMICA, EMPREGADA SEGUNDO A SITUAÇÃO NA PROFISSÃO E DESEMPREGADA EM SENTIDO RESTRITO, POR GRUPO ETÁRIO E SEXO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total ,"População empregada, segundo a situação na profissão",,,,,,,População desempregada,,,,,
Grupo etário e sexo,,Total,Patrão/Empregador,Trabalhador por conta própria ou isolado,Trabalhador Familiar não remunerado,Trabalhador por conta de outrém,Membro activo de cooperativa de produção,Outra situação,Total,Procura 1º emprego,Procura novo emprego,,,
          20 - 24 anos      HM,92885,68545,4429,1197,260,60792,64,1803,24340,12898,11442,,,
                            H,46431,33519,2167,531,147,29843,41,790,12912,6959,5953,,,
          25 - 29 anos      HM,160625,138583,9859,3217,239,121764,46,3458,22042,4758,17284,,,
                            H,78589,67425,5030,1523,117,59267,35,1453,11164,2539,8625,,,
          30 - 34 anos      HM,204790,182483,15240,6119,276,157742,50,3056,22307,2171,20136,,,
                            H,100683,89830,8557,3048,121,76707,32,1365,10853,896,9957,,,
          35 - 39 anos      HM,215233,192715,18912,8504,325,162741,52,2181,22518,1757,20761,,,
                            H,106453,95254,11120,4462,129,78510,37,996,11199,700,10499,,,
          40 - 44 anos      HM,184121,163913,17830,8908,334,135254,61,1526,20208,1358,18850,,,
                            H,90886,80429,10556,4524,110,64486,44,709,10457,524,9933,,,
          45 - 49 anos      HM,170148,151102,16860,9198,444,123202,78,1320,19046,1213,17833,,,
                            H,83634,73515,10178,4855,134,57691,56,601,10119,502,9617,,,
          50 - 54 anos      HM,151481,133693,15125,8541,427,108355,74,1171,17788,1069,16719,,,
                            H,74533,65063,9322,4508,118,50514,55,546,9470,450,9020,,,
          55 - 59 anos      HM,117915,102812,12861,7903,435,80573,40,1000,15103,949,14154,,,
                            H,59376,51239,8263,4178,105,38206,32,455,8137,402,7735,,,
          60 - 64 anos      HM,64967,56659,9531,6516,427,39427,40,718,8308,536,7772,,,
                            H,33650,29127,6504,3559,129,18517,36,382,4523,251,4272,,,
          65 - 69 anos      HM,15775,15635,4004,2671,218,8389,15,338,140,30,110,,,
                            H,9511,9457,3008,1694,71,4480,14,190,54,15,39,,,
          70 - 74 anos      HM,5028,5028,1673,1193,113,1878,5,166,0,0,0,,,
                            H,3455,3455,1304,808,53,1190,4,96,0,0,0,,,
          75 ou mais anos      HM,3108,3108,1122,792,58,1006,4,126,0,0,0,,,
                               H,2166,2166,885,578,21,609,1,72,0,0,0,,,
      Alentejo      HM,342654,298691,29332,21636,1467,243077,162,3017,43963,7204,36759,,,
                     H,181596,159956,19061,13320,558,125641,105,1271,21640,3282,18358,,,
          15 - 19 anos      HM,4065,2088,99,25,18,1873,6,67,1977,1397,580,,,
                            H,2390,1298,52,13,9,1190,4,30,1092,755,337,,,
          20 - 24 anos      HM,23230,17296,688,317,68,15865,16,342,5934,2957,2977,,,
                            H,12683,9766,387,175,44,9005,12,143,2917,1364,1553,,,
          25 - 29 anos      HM,37018,31516,1726,938,69,28278,10,495,5502,1106,4396,,,
                            H,19289,16635,968,519,46,14876,9,217,2654,529,2125,,,
          30 - 34 anos      HM,45687,40360,2887,1767,81,35187,11,427,5327,448,4879,,,
                            H,23408,21003,1725,1010,39,18052,7,170,2405,171,2234,,,
          35 - 39 anos      HM,47744,42728,3679,2450,120,36117,16,346,5016,334,4682,,,
                            H,24635,22379,2299,1431,60,18437,10,142,2256,118,2138,,,
          40 - 44 anos      HM,45299,40380,4091,2912,143,32915,26,293,4919,292,4627,,,
                            H,23477,21176,2665,1744,42,16590,15,120,2301,87,2214,,,
          45 - 49 anos      HM,45269,40521,4387,3325,181,32291,17,320,4748,233,4515,,,
                            H,23555,21253,2868,2030,66,16159,11,119,2302,75,2227,,,
          50 - 54 anos      HM,40772,36214,4159,3108,241,28398,20,288,4558,185,4373,,,
                            H,21654,19296,2714,1951,69,14427,12,123,2358,72,2286,,,
          55 - 59 anos      HM,30868,27059,3558,2882,219,20177,27,196,3809,174,3635,,,
                            H,17232,15086,2426,1820,64,10672,15,89,2146,80,2066,,,
          60 - 64 anos      HM,16836,14684,2442,2291,174,9620,9,148,2152,75,2077,,,
                            H,9296,8094,1690,1458,50,4820,7,69,1202,30,1172,,,
          65 - 69 anos      HM,3812,3791,951,899,79,1801,4,57,21,3,18,,,
                            H,2471,2464,737,620,39,1039,3,26,7,1,6,,,
          70 - 74 anos      HM,1274,1274,397,407,47,400,0,23,0,0,0,,,
                            H,923,923,317,308,20,266,0,12,0,0,0,,,
          75 ou mais anos      HM,780,780,268,315,27,155,0,15,0,0,0,,,
                               H,583,583,213,241,10,108,0,11,0,0,0,,,
      Algarve      HM,220961,186191,23905,16031,909,143392,92,1862,34770,4804,29966,,,
                     H,114542,96248,15225,9923,372,69803,63,862,18294,2431,15863,,,
          15 - 19 anos      HM,2877,1352,76,27,22,1185,4,38,1525,1032,493,,,
                            H,1566,701,44,15,17,604,1,20,865,567,298,,,
          20 - 24 anos      HM,14484,10182,609,258,44,9124,6,141,4302,1642,2660,,,
                            H,7508,5195,317,149,29,4628,4,68,2313,858,1455,,,
          25 - 29 anos      HM,24330,20102,1501,795,46,17425,12,323,4228,674,3554,,,
                            H,12122,10010,830,453,21,8555,8,143,2112,373,1739,,,
          30 - 34 anos      HM,30635,26250,2526,1373,60,22005,6,280,4385,338,4047,,,
                            H,15379,13245,1547,823,30,10716,4,125,2134,153,1981,,,
          35 - 39 anos      HM,32664,28265,3189,1999,73,22725,13,266,4399,294,4105,,,
                            H,16621,14423,2004,1148,25,11115,8,123,2198,115,2083,,,
          40 - 44 anos      HM,29622,25450,3373,2202,91,19580,12,192,4172,237,3935,,,
                            H,15018,12900,2083,1338,34,9352,8,85,2118,81,2037,,,
          45 - 49 anos      HM,27685,23721,3372,2285,130,17719,18,197,3964,202,3762,,,
                            H,14133,12033,2136,1420,51,8325,14,87,2100,94,2006,,,
          50 - 54 anos      HM,24485,21070,3198,2305,144,15275,10,138,3415,164,3251,,,
                            H,12785,10870,2068,1433,46,7262,7,54,1915,79,1836,,,
          55 - 59 anos      HM,19227,16477,2822,2106,130,11255,5,159,2750,138,2612,,,
                            H,10615,9040,1924,1377,45,5603,3,88,1575,70,1505,,,
          60 - 64 anos      HM,11205,9580,2083,1705,100,5606,2,84,1625,83,1542,,,
                            H,6393,5430,1437,1097,44,2807,2,43,963,41,922,,,
          65 - 69 anos      HM,2548,2543,726,571,35,1177,3,31,5,0,5,,,
                            H,1577,1576,519,390,12,635,3,17,1,0,1,,,
          70 - 74 anos      HM,764,764,276,243,20,217,1,7,0,0,0,,,
                            H,521,521,202,162,10,141,1,5,0,0,0,,,
          75 ou mais anos      HM,435,435,154,162,14,99,0,6,0,0,0,,,
                               H,304,304,114,118,8,60,0,4,0,0,0,,,
    Região Autónoma dos Açores    HM,114920,102127,9362,7730,1118,82743,77,1097,12793,3435,9358,,,
                 H,64658,57464,6519,5459,638,44337,52,459,7194,1604,5590,,,
        15 - 19 anos    HM,2619,1336,68,33,55,1127,5,48,1283,995,288,,,
                        H,1599,899,51,19,46,759,4,20,700,546,154,,,
        20 - 24 anos    HM,11113,8372,453,219,161,7312,14,213,2741,1281,1460,,,
                        H,6258,4866,290,137,132,4216,11,80,1392,615,777,,,
        25 - 29 anos    HM,15489,13288,874,456,147,11638,13,160,2201,461,1740,,,
                        H,8111,6907,524,285,104,5916,9,69,1204,202,1002,,,
        30 - 34 anos    HM,17639,15956,1154,821,137,13699,2,143,1683,211,1472,,,
                        H,9395,8464,738,567,76,7024,0,59,931,73,858,,,
        35 - 39 anos    HM,16633,15195,1312,1005,121,12612,3,142,1438,157,1281,,,
                        H,8999,8196,895,682,68,6487,2,62,803,57,746,,,
        40 - 44 anos    HM,14730,13591,1283,1169,124,10893,7,115,1139,112,1027,,,
                        H,8219,7545,910,830,62,5690,4,49,674,29,645,,,
        45 - 49 anos    HM,14026,12999,1363,1149,117,10246,13,111,1027,107,920,,,
                        H,8007,7389,992,807,58,5479,9,44,618,37,581,,,
        50 - 54 anos    HM,11252,10523,1163,1116,104,8061,7,72,729,68,661,,,
                        H,6711,6232,844,794,34,4519,6,35,479,28,451,,,
        55 - 59 anos    HM,7096,6689,847,917,88,4784,8,45,407,30,377,,,
                        H,4525,4235,639,675,35,2860,3,23,290,8,282,,,
        60 - 64 anos    HM,3311,3169,533,609,46,1949,3,29,142,13,129,,,
                        H,2128,2026,387,469,12,1141,3,14,102,9,93,,,
        65 - 69 anos    HM,705,702,188,130,14,357,1,12,3,0,3,,,
                        H,467,466,150,109,8,196,1,2,1,0,1,,,
        70 - 74 anos    HM,169,169,66,55,3,41,1,3,0,0,0,,,
                        H,126,126,49,41,3,32,0,1,0,0,0,,,
        75 ou mais anos    HM,138,138,58,51,1,24,0,4,0,0,0,,,
                           H,113,113,50,44,0,18,0,1,0,0,0,,,
      Região Autónoma dos Açores      HM,114920,102127,9362,7730,1118,82743,77,1097,12793,3435,9358,,,
                     H,64658,57464,6519,5459,638,44337,52,459,7194,1604,5590,,,
          15 - 19 anos      HM,2619,1336,68,33,55,1127,5,48,1283,995,288,,,
                            H,1599,899,51,19,46,759,4,20,700,546,154,,,
          20 - 24 anos      HM,11113,8372,453,219,161,7312,14,213,2741,1281,1460,,,
                            H,6258,4866,290,137,132,4216,11,80,1392,615,777,,,
          25 - 29 anos      HM,15489,13288,874,456,147,11638,13,160,2201,461,1740,,,
                            H,8111,6907,524,285,104,5916,9,69,1204,202,1002,,,
          30 - 34 anos      HM,17639,15956,1154,821,137,13699,2,143,1683,211,1472,,,
                            H,9395,8464,738,567,76,7024,0,59,931,73,858,,,
          35 - 39 anos      HM,16633,15195,1312,1005,121,12612,3,142,1438,157,1281,,,
                            H,8999,8196,895,682,68,6487,2,62,803,57,746,,,
          40 - 44 anos      HM,14730,13591,1283,1169,124,10893,7,115,1139,112,1027,,,
                            H,8219,7545,910,830,62,5690,4,49,674,29,645,,,
          45 - 49 anos      HM,14026,12999,1363,1149,117,10246,13,111,1027,107,920,,,
                            H,8007,7389,992,807,58,5479,9,44,618,37,581,,,
          50 - 54 anos      HM,11252,10523,1163,1116,104,8061,7,72,729,68,661,,,
                            H,6711,6232,844,794,34,4519,6,35,479,28,451,,,
          55 - 59 anos      HM,7096,6689,847,917,88,4784,8,45,407,30,377,,,
                            H,4525,4235,639,675,35,2860,3,23,290,8,282,,,
          60 - 64 anos      HM,3311,3169,533,609,46,1949,3,29,142,13,129,,,
                            H,2128,2026,387,469,12,1141,3,14,102,9,93,,,
          65 - 69 anos      HM,705,702,188,130,14,357,1,12,3,0,3,,,
                            H,467,466,150,109,8,196,1,2,1,0,1,,,
          70 - 74 anos      HM,169,169,66,55,3,41,1,3,0,0,0,,,
                            H,126,126,49,41,3,32,0,1,0,0,0,,,
          75 ou mais anos      HM,138,138,58,51,1,24,0,4,0,0,0,,,
                               H,113,113,50,44,0,18,0,1,0,0,0,,,
    Região Autónoma da Madeira    HM,127484,108808,9586,5688,501,92061,62,910,18676,3876,14800,,,
                 H,66281,55220,6414,3508,225,44608,27,438,11061,1880,9181,,,
        15 - 19 anos    HM,1773,796,38,12,7,718,0,21,977,735,242,,,
                        H,989,446,15,8,4,407,0,12,543,405,138,,,
        20 - 24 anos    HM,9483,6505,305,75,33,5994,11,87,2978,1337,1641,,,
                        H,5018,3433,172,44,20,3147,6,44,1585,680,905,,,
        25 - 29 anos    HM,15161,12308,659,211,35,11275,3,125,2853,627,2226,,,
                        H,7549,5980,396,124,24,5366,2,68,1569,303,1266,,,
        30 - 34 anos    HM,18582,16111,1133,406,32,14417,7,116,2471,307,2164,,,
                        H,9396,7927,705,239,20,6903,6,54,1469,139,1330,,,
        35 - 39 anos    HM,19248,16936,1421,639,47,14710,9,110,2312,215,2097,,,
                        H,9873,8488,943,406,21,7067,5,46,1385,93,1292,,,
        40 - 44 anos    HM,17780,15644,1454,831,57,13173,7,122,2136,184,1952,,,
                        H,9200,7903,955,512,25,6355,3,53,1297,62,1235,,,
        45 - 49 anos    HM,17224,15181,1527,934,100,12496,11,113,2043,208,1835,,,
                        H,8864,7598,1029,559,41,5907,3,59,1266,84,1182,,,
        50 - 54 anos    HM,13435,11872,1117,816,58,9796,4,81,1563,127,1436,,,
                        H,7088,6063,769,469,20,4767,2,36,1025,46,979,,,
        55 - 59 anos    HM,8980,8028,882,732,59,6274,7,74,952,99,853,,,
                        H,4895,4248,651,434,20,3108,0,35,647,47,600,,,
        60 - 64 anos    HM,4337,3950,610,632,41,2631,3,33,387,36,351,,,
                        H,2444,2173,446,408,17,1288,0,14,271,20,251,,,
        65 - 69 anos    HM,993,989,249,243,18,465,0,14,4,1,3,,,
                        H,603,599,188,175,5,223,0,8,4,1,3,,,
        70 - 74 anos    HM,272,272,105,90,7,65,0,5,0,0,0,,,
                        H,201,201,73,77,6,42,0,3,0,0,0,,,
        75 ou mais anos    HM,216,216,86,67,7,47,0,9,0,0,0,,,
                           H,161,161,72,53,2,28,0,6,0,0,0,,,
      Região Autónoma da Madeira      HM,127484,108808,9586,5688,501,92061,62,910,18676,3876,14800,,,
                     H,66281,55220,6414,3508,225,44608,27,438,11061,1880,9181,,,
          15 - 19 anos      HM,1773,796,38,12,7,718,0,21,977,735,242,,,
                            H,989,446,15,8,4,407,0,12,543,405,138,,,
          20 - 24 anos      HM,9483,6505,305,75,33,5994,11,87,2978,1337,1641,,,
                            H,5018,3433,172,44,20,3147,6,44,1585,680,905,,,
          25 - 29 anos      HM,15161,12308,659,211,35,11275,3,125,2853,627,2226,,,
                            H,7549,5980,396,124,24,5366,2,68,1569,303,1266,,,
          30 - 34 anos      HM,18582,16111,1133,406,32,14417,7,116,2471,307,2164,,,
                            H,9396,7927,705,239,20,6903,6,54,1469,139,1330,,,
          35 - 39 anos      HM,19248,16936,1421,639,47,14710,9,110,2312,215,2097,,,
                            H,9873,8488,943,406,21,7067,5,46,1385,93,1292,,,
          40 - 44 anos      HM,17780,15644,1454,831,57,13173,7,122,2136,184,1952,,,
                            H,9200,7903,955,512,25,6355,3,53,1297,62,1235,,,
          45 - 49 anos      HM,17224,15181,1527,934,100,12496,11,113,2043,208,1835,,,
                            H,8864,7598,1029,559,41,5907,3,59,1266,84,1182,,,
          50 - 54 anos      HM,13435,11872,1117,816,58,9796,4,81,1563,127,1436,,,
                            H,7088,6063,769,469,20,4767,2,36,1025,46,979,,,
          55 - 59 anos      HM,8980,8028,882,732,59,6274,7,74,952,99,853,,,
                            H,4895,4248,651,434,20,3108,0,35,647,47,600,,,
          60 - 64 anos      HM,4337,3950,610,632,41,2631,3,33,387,36,351,,,
                            H,2444,2173,446,408,17,1288,0,14,271,20,251,,,
          65 - 69 anos      HM,993,989,249,243,18,465,0,14,4,1,3,,,
                            H,603,599,188,175,5,223,0,8,4,1,3,,,
          70 - 74 anos      HM,272,272,105,90,7,65,0,5,0,0,0,,,
                            H,201,201,73,77,6,42,0,3,0,0,0,,,
          75 ou mais anos      HM,216,216,86,67,7,47,0,9,0,0,0,,,
                               H,161,161,72,53,2,28,0,6,0,0,0,,,
