"3.20 - ALOJAMENTOS CLÁSSICOS PROPRIEDADE DOS OCUPANTES, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO A ÁREA ÚTIL DO ALOJAMENTO, POR GRUPO SÓCIO-ECONÓMICO DO TITULAR DO ALOJAMENTO, EXISTÊNCIA DE ENCARGOS POR COMPRA E RESPECTIVOS ESCALÕES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,"Alojamentos clássicos, segundo a área útil do alojamento",,,,,,,,,,Famílias clássicas,Pessoas residentes,
Grupo sócio-económico do titular do alojamento e escalão de encargos,,Menos de 30m2,De 30 a menos de 40m2,De 40 a menos de 50 m2,De 50 a menos de 60 m2,De 60 a menos de 80 m2,De 80 a menos de 100 m2,De 100 a menos de 120 m2,De 120 a menos de 150 m2,De 150 a menos de 200 m2,200 m2 ou mais,,,
"            200 - 249,99 euros",586,6,6,28,29,87,101,103,92,84,50,588,2044,
"            250 - 299,99 euros",598,5,8,25,26,80,107,120,73,91,63,600,2065,
"            300 - 349,99 euros",527,2,11,17,28,59,95,101,68,81,65,531,1840,
"            350 - 399,99 euros",427,3,3,19,17,34,37,98,78,70,68,428,1489,
"            400 - 499,99 euros",729,11,12,26,21,71,106,123,133,110,116,730,2617,
"            500 - 649,99 euros",344,0,1,6,9,23,48,45,74,61,77,351,1224,
"            650 - 799,99 euros",868,10,11,42,36,111,132,120,141,144,121,873,3176,
            800 euros ou mais,222,0,5,12,11,22,17,26,51,28,50,226,792,
          Assalariados do sector primário,1222,27,33,74,90,168,229,206,168,110,117,1234,4659,
            Sem encargos,566,15,17,43,44,75,107,92,74,45,54,570,2155,
            Com encargos,656,12,16,31,46,93,122,114,94,65,63,664,2504,
            Menos de 75 euros,48,0,4,3,5,19,4,6,2,5,0,48,214,
"            75  - 99,99 euros",19,0,0,1,2,1,8,2,2,0,3,19,62,
"            100 - 149,99 euros",67,0,4,3,3,6,18,13,12,4,4,67,271,
            150 - 199.99 euros,50,2,1,2,4,4,14,10,3,8,2,50,190,
"            200 - 249,99 euros",63,0,0,3,7,7,9,15,12,7,3,63,226,
"            250 - 299,99 euros",70,1,2,5,5,10,13,8,10,5,11,71,272,
"            300 - 349,99 euros",47,1,0,1,0,9,8,8,7,7,6,47,173,
"            350 - 399,99 euros",43,0,0,1,2,8,7,10,7,4,4,44,172,
"            400 - 499,99 euros",89,2,2,2,9,10,17,15,13,8,11,89,327,
"            500 - 649,99 euros",20,0,0,1,2,2,4,4,3,2,2,20,81,
"            650 - 799,99 euros",118,3,2,8,6,15,16,22,21,12,13,120,422,
            800 euros ou mais,22,3,1,1,1,2,4,1,2,3,4,26,94,
          Trabalhadores administrativos do comércio e serviços não qualificados,2797,31,56,184,200,436,448,512,384,301,245,2827,9475,
            Sem encargos,1140,17,34,86,96,177,187,208,157,104,74,1157,3761,
            Com encargos,1657,14,22,98,104,259,261,304,227,197,171,1670,5714,
            Menos de 75 euros,106,0,3,9,6,27,19,22,9,8,3,106,365,
"            75  - 99,99 euros",60,1,1,6,2,6,10,12,11,8,3,60,216,
"            100 - 149,99 euros",119,0,2,8,11,26,14,26,13,12,7,119,392,
            150 - 199.99 euros,129,2,2,12,8,23,18,26,15,11,12,130,433,
"            200 - 249,99 euros",177,1,2,11,13,24,39,36,17,18,16,177,601,
"            250 - 299,99 euros",164,3,2,14,7,28,29,31,16,22,12,164,550,
"            300 - 349,99 euros",140,1,1,2,8,20,22,27,28,15,16,140,483,
"            350 - 399,99 euros",123,0,1,6,10,12,22,22,20,20,10,127,420,
"            400 - 499,99 euros",197,3,4,9,15,25,24,33,33,28,23,197,696,
"            500 - 649,99 euros",83,0,1,2,1,5,6,16,13,14,25,84,298,
"            650 - 799,99 euros",284,2,0,18,20,49,50,34,42,34,35,289,1005,
            800 euros ou mais,75,1,3,1,3,14,8,19,10,7,9,77,255,
          Operários não qualificados,1041,23,36,63,89,169,174,165,141,89,92,1058,3767,
            Sem encargos,437,12,14,38,42,76,80,63,54,25,33,443,1564,
            Com encargos,604,11,22,25,47,93,94,102,87,64,59,615,2203,
            Menos de 75 euros,37,0,3,1,5,7,5,6,5,4,1,37,131,
"            75  - 99,99 euros",19,1,2,1,1,3,4,2,2,2,1,20,69,
"            100 - 149,99 euros",53,2,3,4,6,10,6,8,4,5,5,53,192,
            150 - 199.99 euros,58,2,4,0,5,9,13,10,5,7,3,58,213,
"            200 - 249,99 euros",57,1,1,3,5,9,13,8,11,2,4,57,205,
"            250 - 299,99 euros",50,1,0,0,5,8,12,10,7,3,4,54,193,
"            300 - 349,99 euros",48,1,2,2,3,5,4,9,9,9,4,48,155,
"            350 - 399,99 euros",34,0,0,1,2,3,6,7,6,5,4,34,117,
"            400 - 499,99 euros",82,1,3,2,4,13,16,20,7,7,9,87,313,
"            500 - 649,99 euros",29,0,1,4,3,2,0,3,4,5,7,29,110,
"            650 - 799,99 euros",104,0,2,6,7,18,9,15,23,12,12,104,387,
            800 euros ou mais,33,2,1,1,1,6,6,4,4,3,5,34,118,
          Trabalhadores não qualificados do sector primário,274,8,5,17,31,46,50,43,42,21,11,278,1054,
            Sem encargos,151,4,4,10,16,25,31,29,16,13,3,152,547,
            Com encargos,123,4,1,7,15,21,19,14,26,8,8,126,507,
            Menos de 75 euros,13,0,0,0,3,2,4,2,2,0,0,13,41,
"            75  - 99,99 euros",4,0,0,0,1,0,1,0,2,0,0,4,15,
"            100 - 149,99 euros",11,1,0,0,1,3,2,0,3,0,1,11,45,
            150 - 199.99 euros,14,0,1,3,0,5,1,1,3,0,0,14,55,
"            200 - 249,99 euros",12,0,0,1,2,1,2,1,4,0,1,12,45,
"            250 - 299,99 euros",12,0,0,0,1,3,1,5,0,1,1,12,48,
"            300 - 349,99 euros",6,0,0,1,0,0,2,1,0,1,1,6,32,
"            350 - 399,99 euros",8,1,0,0,1,1,2,0,0,2,1,8,30,
"            400 - 499,99 euros",11,0,0,1,3,0,2,1,3,1,0,11,49,
"            500 - 649,99 euros",6,1,0,0,1,1,0,0,0,2,1,6,27,
"            650 - 799,99 euros",19,0,0,1,2,5,2,1,6,1,1,22,86,
            800 euros ou mais,7,1,0,0,0,0,0,2,3,0,1,7,34,
          Pessoal das forças armadas,205,1,1,2,9,20,24,29,23,42,54,206,668,
            Sem encargos,36,1,1,0,2,3,6,6,5,3,9,36,94,
            Com encargos,169,0,0,2,7,17,18,23,18,39,45,170,574,
            Menos de 75 euros,5,0,0,0,0,1,1,2,1,0,0,5,20,
"            75  - 99,99 euros",2,0,0,0,1,0,1,0,0,0,0,2,7,
"            100 - 149,99 euros",6,0,0,0,0,2,2,1,0,1,0,6,15,
            150 - 199.99 euros,9,0,0,0,2,2,0,0,1,1,3,9,26,
"            200 - 249,99 euros",17,0,0,0,0,2,4,4,2,3,2,17,56,
"            250 - 299,99 euros",11,0,0,0,2,0,2,2,1,0,4,11,38,
"            300 - 349,99 euros",15,0,0,1,0,1,2,3,2,5,1,15,44,
"            350 - 399,99 euros",18,0,0,0,0,3,2,2,2,5,4,18,68,
"            400 - 499,99 euros",29,0,0,0,0,1,2,5,5,8,8,30,88,
"            500 - 649,99 euros",26,0,0,0,0,2,2,2,1,9,10,26,97,
"            650 - 799,99 euros",22,0,0,1,1,3,0,2,2,5,8,22,79,
            800 euros ou mais,9,0,0,0,1,0,0,0,1,2,5,9,36,
          Outras pessoas activas n.e.,163,5,4,13,8,23,24,34,22,14,16,163,521,
            Sem encargos,72,2,2,7,4,14,8,13,8,8,6,72,205,
            Com encargos,91,3,2,6,4,9,16,21,14,6,10,91,316,
            Menos de 75 euros,9,1,0,1,1,1,2,2,0,0,1,9,32,
"            75  - 99,99 euros",2,0,0,0,1,1,0,0,0,0,0,2,9,
"            100 - 149,99 euros",7,0,1,0,1,1,0,2,1,0,1,7,25,
            150 - 199.99 euros,8,0,0,0,0,1,2,2,2,1,0,8,28,
"            200 - 249,99 euros",5,0,0,0,0,1,1,1,2,0,0,5,20,
"            250 - 299,99 euros",11,1,1,0,0,2,2,4,1,0,0,11,36,
"            300 - 349,99 euros",6,0,0,1,0,0,2,3,0,0,0,6,24,
"            350 - 399,99 euros",4,0,0,0,0,0,0,2,1,0,1,4,14,
"            400 - 499,99 euros",18,1,0,1,0,2,3,3,2,3,3,18,61,
"            500 - 649,99 euros",4,0,0,0,0,0,0,0,3,1,0,4,13,
"            650 - 799,99 euros",10,0,0,1,1,0,3,1,2,0,2,10,31,
            800 euros ou mais,7,0,0,2,0,0,1,1,0,1,2,7,23,
          Inactivos,25415,421,530,1482,1841,3719,4423,4045,3774,2744,2436,25685,65793,
            Sem encargos,18968,334,436,1175,1470,2872,3364,3067,2709,1890,1651,19133,47008,
            Com encargos,6447,87,94,307,371,847,1059,978,1065,854,785,6552,18785,
            Menos de 75 euros,865,16,14,53,63,115,174,143,117,85,85,878,2679,
"            75  - 99,99 euros",228,3,3,9,11,34,41,35,43,27,22,235,691,
"            100 - 149,99 euros",362,8,0,11,16,43,62,68,59,58,37,369,1105,
            150 - 199.99 euros,324,4,7,11,19,40,51,65,47,42,38,327,1055,
"            200 - 249,99 euros",323,3,4,10,18,34,58,52,54,53,37,328,994,
"            250 - 299,99 euros",242,0,6,8,14,22,34,41,47,44,26,252,786,
"            300 - 349,99 euros",232,5,1,5,12,27,42,51,27,31,31,234,739,
"            350 - 399,99 euros",232,2,1,15,9,24,29,63,34,32,23,235,735,
"            400 - 499,99 euros",538,7,8,24,24,71,75,88,91,80,70,554,1691,
"            500 - 649,99 euros",255,2,0,9,11,20,28,34,46,47,58,256,806,
"            650 - 799,99 euros",2269,34,39,127,140,349,393,260,415,270,242,2293,5936,
            800 euros ou mais,577,3,11,25,34,68,72,78,85,85,116,591,1568,
      Região Autónoma da Madeira,71829,1312,1967,3671,4760,9396,13770,12920,9960,7218,6855,72087,208635,
"        Empresários com profissões intelectuais, científicas e técnicas",302,3,2,6,6,27,34,61,54,43,66,302,858,
          Sem encargos,78,0,1,1,1,6,8,11,16,11,23,78,204,
          Com encargos,224,3,1,5,5,21,26,50,38,32,43,224,654,
          Menos de 75 euros,3,0,0,0,0,0,2,0,1,0,0,3,12,
"          75  - 99,99 euros",1,0,0,0,0,0,1,0,0,0,0,1,2,
"          100 - 149,99 euros",3,0,0,1,0,0,1,1,0,0,0,3,7,
          150 - 199.99 euros,4,0,0,0,1,0,1,1,1,0,0,4,12,
"          200 - 249,99 euros",2,0,0,0,0,0,0,2,0,0,0,2,7,
"          250 - 299,99 euros",11,0,0,2,1,2,2,1,2,1,0,11,19,
"          300 - 349,99 euros",20,0,0,1,1,4,4,3,3,3,1,20,41,
"          350 - 399,99 euros",26,0,0,0,0,3,2,9,5,5,2,26,72,
"          400 - 499,99 euros",42,0,0,1,1,8,7,11,8,2,4,42,124,
"          500 - 649,99 euros",43,2,0,0,1,2,4,12,8,6,8,43,124,
"          650 - 799,99 euros",18,1,1,0,0,0,0,2,6,4,4,18,57,
          800 euros ou mais,51,0,0,0,0,2,2,8,4,11,24,51,177,
        Empresários da indústria comércio e serviços,1004,8,17,24,28,58,140,158,157,168,246,1006,3387,
          Sem encargos,479,3,10,15,13,35,56,58,73,90,126,481,1646,
          Com encargos,525,5,7,9,15,23,84,100,84,78,120,525,1741,
          Menos de 75 euros,8,0,1,0,3,0,1,1,0,1,1,8,28,
"          75  - 99,99 euros",7,0,0,1,0,0,3,2,1,0,0,7,22,
"          100 - 149,99 euros",13,1,0,0,1,1,2,3,3,2,0,13,40,
          150 - 199.99 euros,17,0,0,1,2,2,1,4,2,3,2,17,58,
"          200 - 249,99 euros",22,0,1,1,0,0,5,5,5,3,2,22,72,
"          250 - 299,99 euros",29,1,2,0,2,2,6,7,4,0,5,29,94,
"          300 - 349,99 euros",43,0,0,1,1,6,10,13,4,4,4,43,130,
"          350 - 399,99 euros",46,1,1,1,1,1,16,12,6,5,2,46,147,
"          400 - 499,99 euros",77,0,1,2,3,4,19,22,6,11,9,77,242,
"          500 - 649,99 euros",90,1,1,1,1,2,9,18,28,15,14,90,296,
"          650 - 799,99 euros",71,1,0,1,0,3,9,6,12,19,20,71,239,
          800 euros ou mais,102,0,0,0,1,2,3,7,13,15,61,102,373,
        Empresários do sector primário,30,0,0,0,1,2,4,3,6,9,5,30,105,
          Sem encargos,18,0,0,0,1,0,1,1,4,6,5,18,62,
          Com encargos,12,0,0,0,0,2,3,2,2,3,0,12,43,
          Menos de 75 euros,0,0,0,0,0,0,0,0,0,0,0,0,0,
"          75  - 99,99 euros",0,0,0,0,0,0,0,0,0,0,0,0,0,
"          100 - 149,99 euros",1,0,0,0,0,0,0,0,1,0,0,1,4,
          150 - 199.99 euros,0,0,0,0,0,0,0,0,0,0,0,0,0,
"          200 - 249,99 euros",1,0,0,0,0,0,1,0,0,0,0,1,4,
"          250 - 299,99 euros",2,0,0,0,0,1,0,1,0,0,0,2,3,
"          300 - 349,99 euros",1,0,0,0,0,1,0,0,0,0,0,1,1,
"          350 - 399,99 euros",1,0,0,0,0,0,1,0,0,0,0,1,6,
"          400 - 499,99 euros",2,0,0,0,0,0,0,1,0,1,0,2,8,
"          500 - 649,99 euros",1,0,0,0,0,0,0,0,0,1,0,1,4,
"          650 - 799,99 euros",1,0,0,0,0,0,0,0,0,1,0,1,3,
          800 euros ou mais,2,0,0,0,0,0,1,0,1,0,0,2,10,
        Pequenos patrões com profissões intelectuais e científicas,272,0,1,3,2,11,20,41,52,54,88,276,822,
          Sem encargos,90,0,0,1,0,3,2,10,14,22,38,92,273,
          Com encargos,182,0,1,2,2,8,18,31,38,32,50,184,549,
          Menos de 75 euros,1,0,0,0,0,1,0,0,0,0,0,1,1,
"          75  - 99,99 euros",1,0,0,0,0,0,0,0,1,0,0,1,1,
"          100 - 149,99 euros",3,0,0,0,0,0,3,0,0,0,0,3,8,
          150 - 199.99 euros,3,0,0,1,0,0,0,1,0,1,0,3,8,
"          200 - 249,99 euros",6,0,0,0,0,0,0,1,0,2,3,6,12,
"          250 - 299,99 euros",6,0,0,0,0,2,0,3,0,0,1,6,16,
"          300 - 349,99 euros",9,0,0,0,1,1,2,3,1,1,0,9,18,
"          350 - 399,99 euros",10,0,0,0,0,1,2,2,3,0,2,10,26,
"          400 - 499,99 euros",30,0,1,0,1,3,4,8,6,5,2,31,86,
"          500 - 649,99 euros",31,0,0,1,0,0,6,5,11,3,5,31,94,
"          650 - 799,99 euros",28,0,0,0,0,0,0,7,6,9,6,28,86,
          800 euros ou mais,54,0,0,0,0,0,1,1,10,11,31,55,193,
        Pequenos patrões com profissões técnicas intermédias,280,1,3,4,9,22,38,39,45,49,70,280,865,
          Sem encargos,85,1,2,3,2,4,9,12,15,17,20,85,258,
          Com encargos,195,0,1,1,7,18,29,27,30,32,50,195,607,
          Menos de 75 euros,3,0,0,0,0,0,1,0,2,0,0,3,7,
"          75  - 99,99 euros",3,0,0,0,0,0,0,2,0,0,1,3,8,
"          100 - 149,99 euros",7,0,0,0,0,1,4,0,0,1,1,7,18,
          150 - 199.99 euros,2,0,0,0,0,1,0,0,0,0,1,2,6,
"          200 - 249,99 euros",8,0,0,0,0,1,2,0,2,1,2,8,21,
"          250 - 299,99 euros",8,0,0,0,1,1,3,1,0,1,1,8,17,
"          300 - 349,99 euros",13,0,0,0,2,3,4,0,2,2,0,13,38,
"          350 - 399,99 euros",17,0,0,0,1,3,2,8,2,0,1,17,58,
"          400 - 499,99 euros",30,0,1,0,2,2,4,5,4,7,5,30,99,
"          500 - 649,99 euros",32,0,0,1,0,1,4,6,10,4,6,32,105,
"          650 - 799,99 euros",28,0,0,0,0,3,2,3,3,6,11,28,87,
          800 euros ou mais,44,0,0,0,1,2,3,2,5,10,21,44,143,
        Pequenos patrões da indústria,1425,12,15,37,38,139,238,262,243,207,234,1426,5024,
          Sem encargos,722,7,13,22,25,75,136,121,116,98,109,722,2551,
          Com encargos,703,5,2,15,13,64,102,141,127,109,125,704,2473,
          Menos de 75 euros,11,1,0,0,2,2,1,1,2,0,2,11,45,
"          75  - 99,99 euros",8,0,1,0,0,1,1,3,2,0,0,8,28,
"          100 - 149,99 euros",19,0,0,0,0,2,3,4,7,1,2,19,67,
          150 - 199.99 euros,25,0,0,1,1,6,2,4,3,2,6,25,89,
"          200 - 249,99 euros",37,0,0,2,0,5,9,10,4,4,3,37,134,
"          250 - 299,99 euros",45,0,0,2,2,5,8,7,9,3,9,45,148,
"          300 - 349,99 euros",62,1,0,1,2,8,9,15,9,12,5,62,196,
"          350 - 399,99 euros",71,0,0,0,0,7,18,15,14,13,4,71,257,
"          400 - 499,99 euros",157,2,1,4,2,13,21,37,30,22,25,158,542,
"          500 - 649,99 euros",106,0,0,1,3,4,14,22,22,20,20,106,380,
"          650 - 799,99 euros",86,1,0,3,1,11,9,13,11,19,18,86,299,
          800 euros ou mais,76,0,0,1,0,0,7,10,14,13,31,76,288,
        Pequenos patrões do comércio e serviços,1317,8,14,28,43,98,210,245,241,209,221,1327,4401,
          Sem encargos,660,3,9,17,24,40,101,119,119,112,116,665,2257,
          Com encargos,657,5,5,11,19,58,109,126,122,97,105,662,2144,
          Menos de 75 euros,10,0,1,1,0,2,1,3,1,0,1,10,35,
"          75  - 99,99 euros",6,0,0,0,0,0,2,1,2,0,1,6,14,
"          100 - 149,99 euros",28,0,0,2,1,2,6,7,4,3,3,29,97,
          150 - 199.99 euros,19,0,0,1,1,2,5,1,4,3,2,19,63,
"          200 - 249,99 euros",28,0,0,0,2,4,4,4,8,4,2,28,97,
"          250 - 299,99 euros",33,0,0,1,4,5,8,6,3,3,3,33,112,
"          300 - 349,99 euros",47,0,1,0,3,3,12,10,8,5,5,47,144,
"          350 - 399,99 euros",67,2,2,1,2,11,13,19,6,6,5,67,196,
"          400 - 499,99 euros",103,1,1,1,3,12,19,22,20,12,12,103,322,
"          500 - 649,99 euros",134,0,0,1,1,9,27,29,28,20,19,134,435,
"          650 - 799,99 euros",104,1,0,2,2,4,9,18,22,19,27,106,354,
          800 euros ou mais,78,1,0,1,0,4,3,6,16,22,25,80,275,
        Pequenos patrões do sector primário,273,4,8,10,20,27,56,44,35,36,33,273,942,
          Sem encargos,230,4,6,7,18,23,43,37,30,34,28,230,790,
          Com encargos,43,0,2,3,2,4,13,7,5,2,5,43,152,
          Menos de 75 euros,3,0,0,1,1,0,1,0,0,0,0,3,15,
"          75  - 99,99 euros",1,0,0,0,0,0,0,1,0,0,0,1,3,
"          100 - 149,99 euros",2,0,0,0,0,0,2,0,0,0,0,2,9,
          150 - 199.99 euros,1,0,1,0,0,0,0,0,0,0,0,1,4,
"          200 - 249,99 euros",1,0,0,0,0,0,0,1,0,0,0,1,4,
"          250 - 299,99 euros",6,0,0,1,1,1,2,1,0,0,0,6,23,
"          300 - 349,99 euros",2,0,0,0,0,0,1,0,0,1,0,2,6,
"          350 - 399,99 euros",2,0,0,0,0,0,0,1,1,0,0,2,5,
"          400 - 499,99 euros",7,0,0,0,0,0,3,1,3,0,0,7,26,
"          500 - 649,99 euros",2,0,0,0,0,0,0,1,0,0,1,2,5,
"          650 - 799,99 euros",11,0,0,1,0,3,2,1,1,1,2,11,33,
          800 euros ou mais,5,0,1,0,0,0,2,0,0,0,2,5,19,
        Profissionais intelectuais e científicos independentes,150,0,0,5,4,14,27,28,30,19,23,150,404,
          Sem encargos,51,0,0,4,1,3,5,4,13,7,14,51,119,
          Com encargos,99,0,0,1,3,11,22,24,17,12,9,99,285,
          Menos de 75 euros,0,0,0,0,0,0,0,0,0,0,0,0,0,
"          75  - 99,99 euros",1,0,0,0,0,0,0,0,1,0,0,1,2,
"          100 - 149,99 euros",3,0,0,0,0,1,1,0,0,1,0,3,6,
          150 - 199.99 euros,1,0,0,0,0,0,0,1,0,0,0,1,1,
"          200 - 249,99 euros",2,0,0,0,0,0,2,0,0,0,0,2,3,
"          250 - 299,99 euros",1,0,0,0,0,0,0,1,0,0,0,1,2,
"          300 - 349,99 euros",16,0,0,1,1,4,4,2,4,0,0,16,43,
"          350 - 399,99 euros",10,0,0,0,0,1,3,3,1,1,1,10,25,
"          400 - 499,99 euros",19,0,0,0,1,1,7,6,4,0,0,19,57,
"          500 - 649,99 euros",14,0,0,0,1,2,1,6,1,3,0,14,39,
"          650 - 799,99 euros",12,0,0,0,0,0,2,5,1,1,3,12,45,
          800 euros ou mais,20,0,0,0,0,2,2,0,5,6,5,20,62,
        Profissionais técnicos intermédios independentes,223,0,0,4,6,21,42,36,32,36,46,223,677,
          Sem encargos,95,0,0,2,4,13,13,14,13,14,22,95,287,
          Com encargos,128,0,0,2,2,8,29,22,19,22,24,128,390,
          Menos de 75 euros,2,0,0,0,0,0,0,0,0,0,2,2,5,
"          75  - 99,99 euros",1,0,0,0,0,0,0,0,0,1,0,1,4,
"          100 - 149,99 euros",6,0,0,1,0,0,2,1,0,0,2,6,17,
          150 - 199.99 euros,3,0,0,1,0,0,2,0,0,0,0,3,11,
"          200 - 249,99 euros",3,0,0,0,0,1,0,0,0,1,1,3,9,
"          250 - 299,99 euros",11,0,0,0,1,0,3,4,1,0,2,11,28,
"          300 - 349,99 euros",8,0,0,0,1,1,2,2,1,1,0,8,27,
"          350 - 399,99 euros",11,0,0,0,0,0,4,4,2,1,0,11,34,
"          400 - 499,99 euros",14,0,0,0,0,1,6,3,1,2,1,14,37,
"          500 - 649,99 euros",31,0,0,0,0,1,7,5,6,8,4,31,94,
"          650 - 799,99 euros",19,0,0,0,0,4,3,1,4,5,2,19,64,
          800 euros ou mais,19,0,0,0,0,0,0,2,4,3,10,19,60,
        Trabalhadores industriais e artesanais independentes,1031,17,15,43,51,109,203,203,149,129,112,1036,3524,
          Sem encargos,591,12,12,30,35,74,100,115,78,70,65,594,2021,
          Com encargos,440,5,3,13,16,35,103,88,71,59,47,442,1503,
          Menos de 75 euros,13,2,0,2,0,0,3,4,1,0,1,13,47,
"          75  - 99,99 euros",5,0,0,0,1,1,1,1,0,0,1,5,14,
"          100 - 149,99 euros",10,0,1,0,0,0,3,4,1,1,0,10,39,
          150 - 199.99 euros,21,1,0,1,0,2,5,3,4,3,2,21,75,
"          200 - 249,99 euros",36,0,0,5,2,6,8,8,3,4,0,37,104,
"          250 - 299,99 euros",27,1,0,1,0,5,6,7,1,2,4,27,90,
"          300 - 349,99 euros",43,0,1,0,2,2,12,12,9,5,0,43,141,
"          350 - 399,99 euros",45,0,0,2,3,5,10,8,9,6,2,45,158,
"          400 - 499,99 euros",83,1,1,0,3,8,18,15,12,15,10,84,280,
"          500 - 649,99 euros",82,0,0,1,2,2,22,16,14,9,16,82,292,
"          650 - 799,99 euros",49,0,0,1,3,3,9,5,13,8,7,49,174,
          800 euros ou mais,26,0,0,0,0,1,6,5,4,6,4,26,89,
        Prestadores de serviços e comerciantes independentes,838,6,20,34,52,95,146,164,108,106,107,841,2661,
          Sem encargos,523,4,11,28,36,66,79,94,71,69,65,525,1667,
          Com encargos,315,2,9,6,16,29,67,70,37,37,42,316,994,
          Menos de 75 euros,11,1,2,1,0,1,2,0,1,1,2,12,28,
"          75  - 99,99 euros",5,0,1,0,1,0,1,0,0,2,0,5,15,
"          100 - 149,99 euros",14,0,1,1,1,1,3,1,2,2,2,14,51,
          150 - 199.99 euros,17,0,1,0,1,3,2,6,2,2,0,17,49,
"          200 - 249,99 euros",13,0,0,0,2,2,4,2,0,0,3,13,39,
"          250 - 299,99 euros",24,0,2,1,0,1,6,7,2,2,3,24,82,
"          300 - 349,99 euros",28,0,0,0,4,2,7,7,2,3,3,28,90,
"          350 - 399,99 euros",28,0,0,1,1,3,5,6,2,4,6,28,81,
"          400 - 499,99 euros",51,0,1,1,1,7,13,10,8,6,4,51,163,
"          500 - 649,99 euros",45,0,0,0,1,5,7,14,8,3,7,45,128,
"          650 - 799,99 euros",45,1,1,0,2,3,13,9,7,5,4,45,145,
          800 euros ou mais,34,0,0,1,2,1,4,8,3,7,8,34,123,
        Trabalhadores independentes do sector primário,856,15,30,55,79,107,117,162,114,94,83,856,2690,
          Sem encargos,751,12,26,51,70,98,103,139,100,79,73,751,2325,
          Com encargos,105,3,4,4,9,9,14,23,14,15,10,105,365,
          Menos de 75 euros,9,1,1,1,2,1,2,0,1,0,0,9,36,
"          75  - 99,99 euros",3,0,0,0,0,0,1,0,1,1,0,3,10,
"          100 - 149,99 euros",5,0,0,0,1,1,1,2,0,0,0,5,21,
          150 - 199.99 euros,3,0,0,0,0,0,0,0,1,1,1,3,11,
"          200 - 249,99 euros",5,0,1,0,0,0,0,2,0,1,1,5,17,
"          250 - 299,99 euros",7,0,0,0,1,1,0,2,2,1,0,7,29,
"          300 - 349,99 euros",8,0,1,0,0,1,2,3,1,0,0,8,25,
"          350 - 399,99 euros",5,0,0,0,2,0,0,1,0,1,1,5,18,
"          400 - 499,99 euros",17,0,0,0,2,0,2,5,2,4,2,17,64,
"          500 - 649,99 euros",3,0,0,0,1,0,0,0,0,2,0,3,11,
"          650 - 799,99 euros",28,2,1,3,0,3,4,7,5,1,2,28,85,
          800 euros ou mais,12,0,0,0,0,2,2,1,1,3,3,12,38,
        Directores e quadros dirigentes do Estado e empresas,1050,3,4,10,14,61,180,173,188,182,235,1051,3067,
          Sem encargos,227,1,2,5,4,19,32,26,35,37,66,228,671,
          Com encargos,823,2,2,5,10,42,148,147,153,145,169,823,2396,
          Menos de 75 euros,2,0,0,0,0,0,0,1,1,0,0,2,6,
"          75  - 99,99 euros",5,0,0,0,0,1,1,1,1,0,1,5,7,
"          100 - 149,99 euros",13,0,0,0,0,1,5,2,0,2,3,13,32,
          150 - 199.99 euros,11,1,0,0,0,1,1,2,4,0,2,11,33,
"          200 - 249,99 euros",19,0,1,1,1,2,5,5,4,0,0,19,58,
"          250 - 299,99 euros",49,0,0,0,1,7,14,14,6,5,2,49,114,
"          300 - 349,99 euros",68,0,0,0,2,9,20,19,9,7,2,68,164,
"          350 - 399,99 euros",94,1,0,0,3,7,25,26,19,6,7,94,243,
"          400 - 499,99 euros",154,0,1,3,2,6,33,33,38,21,17,154,444,
"          500 - 649,99 euros",151,0,0,1,0,4,28,30,34,28,26,151,433,
"          650 - 799,99 euros",110,0,0,0,1,3,11,9,21,33,32,110,349,
          800 euros ou mais,147,0,0,0,0,1,5,5,16,43,77,147,513,
        Dirigentes de pequenas empresas e organizações,208,2,2,1,2,19,34,39,46,37,26,208,622,
          Sem encargos,50,1,1,1,1,3,5,9,14,5,10,50,151,
          Com encargos,158,1,1,0,1,16,29,30,32,32,16,158,471,
          Menos de 75 euros,1,0,0,0,0,0,0,1,0,0,0,1,1,
"          75  - 99,99 euros",0,0,0,0,0,0,0,0,0,0,0,0,0,
"          100 - 149,99 euros",3,0,0,0,0,0,0,1,1,1,0,3,11,
          150 - 199.99 euros,4,0,0,0,0,1,1,1,0,1,0,4,14,
"          200 - 249,99 euros",7,0,0,0,0,1,3,1,1,1,0,7,21,
"          250 - 299,99 euros",13,0,1,0,1,1,3,1,4,1,1,13,38,
"          300 - 349,99 euros",15,1,0,0,0,2,4,5,1,2,0,15,40,
"          350 - 399,99 euros",20,0,0,0,0,3,7,4,3,2,1,20,55,
"          400 - 499,99 euros",19,0,0,0,0,6,4,4,3,1,1,19,55,
"          500 - 649,99 euros",29,0,0,0,0,0,4,7,10,5,3,29,95,
"          650 - 799,99 euros",18,0,0,0,0,1,3,1,4,7,2,18,46,
          800 euros ou mais,29,0,0,0,0,1,0,4,5,11,8,29,95,
        Quadros intelectuais e científicos,5009,19,21,65,105,477,886,1044,927,701,764,5017,13077,
          Sem encargos,970,5,4,18,25,83,129,188,173,159,186,971,2627,
          Com encargos,4039,14,17,47,80,394,757,856,754,542,578,4046,10450,
