"6.47 - POPULAÇÃO RESIDENTE, DESEMPREGADAEM SENTIDO RESTRITO E À PROCURA DE NOVO EMPREGO, SEGUNDO A SITUAÇÃO NA ÚLTIMA PROFISSÃO E SEXO, POR RAMOS DE ACTIVIDADE ECONÓMICA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,
Ramos de actividade económica,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
      Transportes de mercadorias por vias navegáveis interiores,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Transportes aéreos de passageiros,1080,682,0,0,0,0,0,0,1033,648,0,0,47,34
      Transportes aéreos de mercadorias e transportes espaciais,1,1,0,0,0,0,0,0,1,1,0,0,0,0
      Armazenagem,48,32,1,1,8,4,0,0,37,26,0,0,2,1
      Actividades auxiliares dos transportes,1852,1182,32,24,61,42,3,3,1690,1072,1,1,65,40
      Actividades postais sujeitas a obrigações do serviço universal,1718,944,0,0,0,0,0,0,1662,918,0,0,56,26
      Outras actividades postais e de courier,99,70,10,9,3,2,2,1,83,57,0,0,1,1
      Estabelecimentos hoteleiros,14174,5214,492,248,495,230,128,26,12677,4548,2,2,380,160
      Residencias para férias e outros alojamentos de curta duração,384,114,9,6,30,16,6,2,330,86,0,0,9,4
      Parques de campismo e de caravanismo,206,86,7,3,4,3,5,0,182,76,0,0,8,4
      Outros locais de alojamento,25,1,0,0,1,0,0,0,24,1,0,0,0,0
      Restaurantes (inclui actividades de restauração em meios móveis),27392,9929,1746,701,833,455,228,73,23874,8403,12,7,699,290
      Fornecimento de refeições para eventos e outras actividades de serviço de refeições,1892,514,52,10,42,17,9,0,1725,457,1,0,63,30
      Estabelecimentos de bebidas,11414,3974,886,391,1174,692,131,39,8921,2742,5,3,297,107
"      Edição  de livros, de jornais e de outras publicações",1186,587,81,40,75,34,0,0,923,463,0,0,107,50
      Edição de programas informáticos,9,6,1,1,0,0,0,0,8,5,0,0,0,0
"      Actividades cinematográficas, de vídeo e de produção de programas de televisão",951,553,151,104,110,79,1,1,590,320,0,0,99,49
      Actividades de gravação de som e edição de música,30,14,1,1,6,5,0,0,22,7,0,0,1,1
      Actividades de rádio,223,112,16,6,9,5,0,0,173,90,0,0,25,11
