"6.10 - POPULAÇÃO RESIDENTE, SEGUNDO AS MIGRAÇÕES (RELATIVAMENTE A 31/12/2005), POR MUNICIPIO DE RESIDÊNCIA HABITUAL EM 21/03/2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População residente em 2011,,População que ainda não tinha nascido (em 31/12/2005),,População que mantém a mesma residência (relativamente a 31/12/2005),,População que mudou de residência (relativamente a 31/12/2005),,,,,,,,,,,,,,,,,,,,,
Municipios de residência habitual em 21/03/2011,,,,,,,Na mesma freguesia,,Noutra freguesia do mesmo municipio,,Noutro municipio,,No estrangeiro,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,,,,,,,,,,,,,,
            Condeixa-a-Nova,17078,8001,938,487,12313,5748,1062,489,809,356,1781,834,175,87,,,,,,,,,,,,,,
            Figueira da Foz,62125,29375,2497,1306,46705,21940,4728,2215,4368,2072,2798,1326,1029,516,,,,,,,,,,,,,,
            Mira,12465,5902,510,262,9963,4632,955,461,202,104,542,287,293,156,,,,,,,,,,,,,,
            Montemor-o-Velho,26171,12616,1170,607,20332,9687,1617,781,728,376,2071,1028,253,137,,,,,,,,,,,,,,
            Penacova,15251,7208,535,277,12586,5902,1071,506,300,145,503,234,256,144,,,,,,,,,,,,,,
            Soure,19245,9166,691,356,15929,7561,1152,563,338,142,851,389,284,155,,,,,,,,,,,,,,
          Pinhal Litoral,260942,125876,12299,6292,197008,94898,22040,10544,11949,5730,12747,5999,4899,2413,,,,,,,,,,,,,,
            Batalha,15805,7648,799,399,12392,6018,1024,482,217,110,1061,480,312,159,,,,,,,,,,,,,,
            Leiria,126897,61319,6137,3128,93630,45223,9623,4598,8856,4253,6346,3003,2305,1114,,,,,,,,,,,,,,
            Marinha Grande,38681,18623,1872,927,27772,13370,5589,2693,504,237,2312,1100,632,296,,,,,,,,,,,,,,
            Pombal,55217,26422,2404,1267,43960,20933,4121,1946,1541,722,1839,857,1352,697,,,,,,,,,,,,,,
            Porto de Mós,24342,11864,1087,571,19254,9354,1683,825,831,408,1189,559,298,147,,,,,,,,,,,,,,
          Pinhal Interior Norte,131468,62617,5040,2567,101545,48293,10780,5078,4178,1921,7381,3410,2544,1348,,,,,,,,,,,,,,
            Arganil,12145,5788,397,195,9478,4515,1007,476,361,159,635,296,267,147,,,,,,,,,,,,,,
            Góis,4260,2003,131,65,3345,1581,355,155,70,37,303,133,56,32,,,,,,,,,,,,,,
            Lousã,17604,8518,935,487,12313,5990,2096,957,800,369,1161,562,299,153,,,,,,,,,,,,,,
            Miranda do Corvo,13098,6311,510,255,10171,4894,1075,496,332,166,904,442,106,58,,,,,,,,,,,,,,
            Oliveira do Hospital,20855,10007,793,408,16214,7772,1740,838,926,427,827,374,355,188,,,,,,,,,,,,,,
            Pampilhosa da Serra,4481,2065,94,49,3519,1607,283,143,137,50,322,148,126,68,,,,,,,,,,,,,,
            Penela,5983,2841,232,110,4750,2262,351,172,188,86,353,156,109,55,,,,,,,,,,,,,,
            Tábua,12071,5743,472,255,9264,4386,910,447,453,198,662,301,310,156,,,,,,,,,,,,,,
            Vila Nova de Poiares,7281,3485,331,166,5291,2536,653,314,314,151,545,246,147,72,,,,,,,,,,,,,,
            Alvaiázere,7287,3406,237,124,5971,2753,361,161,175,91,369,174,174,103,,,,,,,,,,,,,,
            Ansião,13128,6187,504,239,10724,5070,716,334,261,112,601,264,322,168,,,,,,,,,,,,,,
            Castanheira de Pêra,3191,1520,99,47,2480,1177,430,216,12,6,128,54,42,20,,,,,,,,,,,,,,
            Figueiró dos Vinhos,6169,2892,193,107,4961,2325,530,225,90,42,307,143,88,50,,,,,,,,,,,,,,
            Pedrógão Grande,3915,1851,112,60,3064,1425,273,144,59,27,264,117,143,78,,,,,,,,,,,,,,
          Dão-Lafões,277240,131554,11495,5890,212744,100459,20450,9663,14641,6875,11779,5423,6131,3244,,,,,,,,,,,,,,
            Aguiar da Beira,5473,2580,168,77,4398,2062,360,173,133,64,267,118,147,86,,,,,,,,,,,,,,
            Carregal do Sal,9835,4664,412,207,7606,3577,819,388,309,140,445,221,244,131,,,,,,,,,,,,,,
            Castro Daire,15339,7370,575,278,12534,5980,1021,495,275,134,496,237,438,246,,,,,,,,,,,,,,
            Mangualde,19880,9559,779,409,15286,7311,2104,1001,591,289,751,358,369,191,,,,,,,,,,,,,,
            Mortágua,9607,4621,320,165,7761,3701,604,283,317,160,259,112,346,200,,,,,,,,,,,,,,
            Nelas,14037,6676,613,323,11140,5275,1120,526,330,146,565,257,269,149,,,,,,,,,,,,,,
            Oliveira de Frades,10261,4868,456,239,7991,3742,782,359,341,176,541,276,150,76,,,,,,,,,,,,,,
            Penalva do Castelo,7956,3815,276,155,6521,3100,471,226,183,84,325,150,180,100,,,,,,,,,,,,,,
            Santa Comba Dão,11597,5466,483,254,9055,4249,862,414,413,181,526,232,258,136,,,,,,,,,,,,,,
            São Pedro do Sul,16851,7891,602,292,13534,6322,1110,513,629,287,629,297,347,180,,,,,,,,,,,,,,
            Sátão,12444,5905,493,261,9932,4692,885,421,359,170,484,215,291,146,,,,,,,,,,,,,,
            Tondela,28946,13730,975,494,23028,10883,2186,1035,1128,516,982,446,647,356,,,,,,,,,,,,,,
            Vila Nova de Paiva,5176,2463,199,112,4204,2015,347,150,95,36,185,78,146,72,,,,,,,,,,,,,,
