"6.33 - POPULAÇÃO RESIDENTE  EMPREGADA, SEGUNDO A SITUAÇÃO NA PROFISSÃO E SEXO, POR PROFISSÕES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,
,,,,,,,,,,,,,,
Profissões ,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
      Trabalhadores qualificados da construção das estruturas básicas e similares,171671,170764,17804,17702,16583,16518,532,518,135298,134590,118,116,1336,1320
      Trabalhadores qualificados em acabamentos da construção e similares,39404,39045,5423,5379,5025,5010,100,99,28563,28276,30,27,263,254
"      Pintores, limpadores de fachadas e similares",31204,30572,4302,4271,4791,4761,98,95,21651,21090,19,18,343,337
"      Trabalhadores de chapas metálicas, preparadores e montadores de estruturas metálicas, moldadores de metal, soldadores e trabalhadores similares",69500,67874,6804,6731,4746,4722,137,136,57395,55874,72,70,346,341
"      Forjadores, serralheiros mecânicos e similares",34807,31939,1772,1699,1080,1057,48,46,31768,29012,45,40,94,85
"      Mecânicos e reparadores, de máquinas e de veículos",62634,60685,6198,6146,5691,5663,193,186,50144,48293,58,56,350,341
"      Trabalhadores qualificados do fabrico de instrumentos de precisão, joalheiros, artesãos e similares",14047,8669,1143,853,2006,1262,86,49,10627,6435,75,14,110,56
      Trabalhadores da impressão,15637,11246,1011,787,414,340,45,23,14062,10023,26,20,79,53
      Instaladores e reparadores de equipamento eléctrico,41448,40697,4542,4505,4584,4571,74,72,32002,31308,35,34,211,207
"      Instaladores e reparadores, de equipamentos electrónicos e de telecomunicações",25233,24391,1903,1880,1871,1855,56,56,21184,20391,26,25,193,184
      Trabalhadores qualificados da transformação de alimentos,55409,33461,6041,4287,1934,1286,392,175,46654,27478,123,73,265,162
"      Trabalhadores do tratamento da madeira e cortiça, marceneiros e similares",32852,29292,2828,2684,2349,2282,107,90,27347,24042,39,30,182,164
"      Trabalhadores da confecção de vestuário, curtidores de peles, sapateiros e similares",90936,17150,2428,1125,5918,1813,318,62,81774,14057,130,22,368,71
      Trabalhadores de outros ofícios,1026,735,125,112,92,91,0,0,800,525,0,0,9,7
"      Operadores de instalações, da extracção mineira e de processamento de minerais",9021,8789,488,469,223,206,9,9,8258,8065,10,10,33,30
"      Operadores de instalações de transformação e acabamento, de metais",4002,3473,114,99,32,25,6,6,3837,3333,2,0,11,10
"      Operadores de instalações e máquinas, do fabrico de produtos químicos e fotográficos",2607,2123,52,37,10,7,3,3,2532,2068,3,2,7,6
"      Operadores de máquinas para o fabrico de produtos de borracha, plástico e papel",7399,5483,187,131,61,53,7,6,7115,5271,16,12,13,10
"      Operadores de máquinas para o fabrico de produtos têxteis, de pele com pêlo e couro",45284,16545,1191,430,523,101,114,34,43260,15917,76,21,120,42
      Operadores de máquinas do fabrico de produtos alimentares e similares,2150,1081,59,38,45,37,4,4,2035,999,4,1,3,2
"      Operadores de instalações para o fabrico de papel, para o trabalho da madeira e cortiça",7066,5575,295,251,75,72,12,10,6649,5216,8,3,27,23
      Outros operadores de instalações fixas e máquinas,6035,4303,129,87,129,58,12,6,5725,4123,18,11,22,18
      Trabalhadores da montagem,8848,3943,190,84,126,52,5,4,8478,3779,19,6,30,18
      Maquinistas de locomotivas e similares,2525,2480,2,2,0,0,0,0,2521,2476,0,0,2,2
"      Motoristas de automóveis ligeiros, de carrinhas e condutores de motociclos",17384,16359,1896,1676,4833,4575,64,58,10309,9780,171,166,111,104
      Motoristas de veículos pesados e de autocarros,116475,113663,5427,5228,2424,2365,195,183,107898,105374,106,103,425,410
      Operadores de equipamentos móveis,35375,34705,1387,1365,1415,1409,132,129,32256,31623,48,44,137,135
      Tripulação de convés de navios e similares,1422,1400,65,65,12,12,1,1,1338,1316,1,1,5,5
"      Trabalhadores de limpeza em casas particulares, hotéis e escritórios",220147,9044,4095,240,25908,307,6792,67,180353,8207,34,1,2965,222
"      Trabalhadores de limpeza de veículos, janelas, roupa e de outra limpeza manual",16000,6313,658,257,633,183,50,18,14535,5791,5,1,119,63
"      Trabalhadores não qualificados da agricultura, produção animal, pesca e floresta",22422,14222,951,680,1701,1283,529,324,18918,11714,34,20,289,201
      Trabalhadores não qualificados da indústria extractiva e construção,41675,41244,2451,2406,1599,1587,154,149,37065,36703,18,18,388,381
      Trabalhadores não qualificados da indústria transformadora,117136,53654,1530,810,1125,718,296,142,113574,51603,30,16,581,365
"      Trabalhadores não qualificados de apoio, aos transportes e armazenagem",25172,16812,347,222,133,87,106,53,24420,16329,0,0,166,121
      Assistentes na preparação de refeições,7379,909,232,27,13,3,26,0,7055,869,0,0,53,10
      Prestador de serviços na rua,23,18,1,1,16,14,0,0,5,3,0,0,1,0
      Vendedor ambulante (excepto de alimentos),8784,5222,2438,1427,5076,3048,267,117,891,558,0,0,112,72
      Trabalhadores da recuperação de resíduos,18051,14206,0,0,78,68,8,7,17922,14099,0,0,43,32
      Outras profissões elementares,96273,29967,4481,1909,1370,825,236,86,88734,26791,0,0,1452,356
